#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 172 128
# Band-Index    1
   0.00000    -28.783687    -28.783688
   0.01545    -28.783682    -28.783684
   0.03091    -28.783682    -28.783683
   0.04636    -28.783682    -28.783683
   0.06181    -28.783683    -28.783684
   0.07726    -28.783683    -28.783684
   0.09272    -28.783682    -28.783683
   0.10817    -28.783681    -28.783683
   0.12362    -28.783680    -28.783681
   0.13907    -28.783680    -28.783681
   0.15453    -28.783680    -28.783681
   0.16998    -28.783680    -28.783681
   0.18543    -28.783680    -28.783681
   0.20089    -28.783680    -28.783681
   0.21634    -28.783678    -28.783679
   0.23179    -28.783679    -28.783680
   0.24724    -28.783678    -28.783680
   0.26270    -28.783677    -28.783678
   0.27815    -28.783677    -28.783678
   0.29360    -28.783675    -28.783676
   0.30905    -28.783677    -28.783678
   0.32451    -28.783678    -28.783679
   0.33996    -28.783679    -28.783680
   0.35541    -28.783679    -28.783680
   0.37087    -28.783678    -28.783680
   0.38632    -28.783678    -28.783680
   0.40177    -28.783678    -28.783679
   0.41722    -28.783676    -28.783677
   0.43268    -28.783675    -28.783677
   0.44813    -28.783675    -28.783677
   0.46358    -28.783675    -28.783677
   0.47904    -28.783675    -28.783677
   0.49449    -28.783676    -28.783678
   0.50994    -28.783677    -28.783678
   0.52539    -28.783677    -28.783679
   0.54085    -28.783678    -28.783680
   0.55630    -28.783679    -28.783680
   0.57175    -28.783679    -28.783680
   0.58720    -28.783679    -28.783680
   0.58720    -28.783679    -28.783680
   0.60451    -28.783679    -28.783681
   0.62181    -28.783679    -28.783680
   0.63911    -28.783678    -28.783679
   0.65641    -28.783676    -28.783678
   0.67371    -28.783676    -28.783677
   0.69101    -28.783675    -28.783677
   0.70831    -28.783676    -28.783677
   0.72561    -28.783676    -28.783678
   0.74291    -28.783676    -28.783677
   0.76021    -28.783676    -28.783677
   0.77751    -28.783677    -28.783678
   0.79481    -28.783676    -28.783677
   0.79481    -28.783676    -28.783677
   0.81038    -28.783677    -28.783678
   0.82595    -28.783677    -28.783679
   0.84152    -28.783676    -28.783678
   0.85710    -28.783677    -28.783678
   0.87267    -28.783677    -28.783678
   0.88824    -28.783677    -28.783678
   0.90381    -28.783677    -28.783678
   0.91938    -28.783677    -28.783678
   0.93495    -28.783677    -28.783678
   0.95052    -28.783676    -28.783678
   0.96609    -28.783676    -28.783677
   0.98166    -28.783676    -28.783677
   0.99723    -28.783676    -28.783677
   1.01280    -28.783676    -28.783677
   1.02837    -28.783676    -28.783678
   1.04394    -28.783677    -28.783678
   1.05951    -28.783677    -28.783678
   1.07508    -28.783677    -28.783678
   1.09065    -28.783678    -28.783679
   1.10622    -28.783677    -28.783679
   1.12180    -28.783678    -28.783679
   1.13737    -28.783678    -28.783679
   1.15294    -28.783678    -28.783679
   1.16851    -28.783677    -28.783679
   1.18408    -28.783678    -28.783679
   1.19965    -28.783678    -28.783679
   1.21522    -28.783679    -28.783680
   1.23079    -28.783679    -28.783680
   1.24636    -28.783680    -28.783681
   1.26193    -28.783680    -28.783681
   1.27750    -28.783681    -28.783682
   1.29307    -28.783681    -28.783683
   1.30864    -28.783681    -28.783683
   1.32421    -28.783682    -28.783683
   1.33978    -28.783683    -28.783684
   1.35535    -28.783683    -28.783684
   1.37093    -28.783682    -28.783683
   1.38650    -28.783682    -28.783684
   1.40207    -28.783682    -28.783684
   1.41764    -28.783687    -28.783688
   1.41764    -28.783687    -28.783688
   1.43353    -28.783683    -28.783684
   1.44942    -28.783682    -28.783684
   1.46531    -28.783682    -28.783683
   1.48120    -28.783683    -28.783685
   1.49710    -28.783683    -28.783685
   1.51299    -28.783682    -28.783683
   1.52888    -28.783681    -28.783682
   1.54477    -28.783682    -28.783683
   1.56066    -28.783681    -28.783682
   1.57655    -28.783680    -28.783681
   1.59245    -28.783680    -28.783681
   1.60834    -28.783680    -28.783681
   1.62423    -28.783680    -28.783681
   1.64012    -28.783679    -28.783680
   1.65601    -28.783679    -28.783680
   1.67190    -28.783679    -28.783680
   1.68780    -28.783679    -28.783680
   1.70369    -28.783678    -28.783679
   1.71958    -28.783678    -28.783679
   1.73547    -28.783678    -28.783679
   1.75136    -28.783677    -28.783678
   1.76725    -28.783678    -28.783679
   1.78315    -28.783678    -28.783679
   1.79904    -28.783678    -28.783679
   1.81493    -28.783677    -28.783678
   1.83082    -28.783677    -28.783679
   1.84671    -28.783677    -28.783678
   1.86260    -28.783677    -28.783678
   1.87850    -28.783678    -28.783679
   1.89439    -28.783679    -28.783680
   1.91028    -28.783679    -28.783680
   1.92617    -28.783678    -28.783679
   1.92617    -28.783678    -28.783679
   1.94214    -28.783679    -28.783680
   1.95811    -28.783678    -28.783680
   1.97408    -28.783677    -28.783679
   1.99005    -28.783677    -28.783678
   2.00602    -28.783677    -28.783678
   2.02199    -28.783676    -28.783678
   2.03796    -28.783676    -28.783678
   2.05393    -28.783677    -28.783678
   2.06990    -28.783677    -28.783678
   2.08587    -28.783677    -28.783678
   2.10184    -28.783677    -28.783678
   2.11781    -28.783678    -28.783679
   2.13378    -28.783678    -28.783679
   2.14975    -28.783677    -28.783678
   2.16572    -28.783676    -28.783677
   2.18169    -28.783676    -28.783678
   2.19766    -28.783676    -28.783677
   2.21363    -28.783676    -28.783677
   2.22960    -28.783677    -28.783678
   2.24557    -28.783676    -28.783677
   2.26154    -28.783676    -28.783677
   2.27751    -28.783676    -28.783677
   2.29348    -28.783676    -28.783678
   2.30945    -28.783676    -28.783677
   2.32542    -28.783676    -28.783677
   2.34139    -28.783676    -28.783677
   2.34139    -28.783676    -28.783677
   2.35770    -28.783676    -28.783677
   2.37401    -28.783675    -28.783677
   2.39032    -28.783676    -28.783677
   2.40663    -28.783676    -28.783677
   2.42294    -28.783676    -28.783678
   2.43925    -28.783676    -28.783677
   2.45557    -28.783676    -28.783677
   2.47188    -28.783676    -28.783677
   2.48819    -28.783675    -28.783676
   2.50450    -28.783675    -28.783676
   2.52081    -28.783675    -28.783676
   2.53712    -28.783675    -28.783676
   2.55343    -28.783676    -28.783677
   2.56974    -28.783677    -28.783678
   2.58606    -28.783678    -28.783679
   2.60237    -28.783679    -28.783681
   2.61868    -28.783679    -28.783680
   2.63499    -28.783679    -28.783680
 
# Band-Index    2
   2.63499    -19.663078    -19.663079
   2.61868    -19.663070    -19.663071
   2.60237    -19.663045    -19.663046
   2.58606    -19.663003    -19.663004
   2.56974    -19.662942    -19.662944
   2.55343    -19.662867    -19.662869
   2.53712    -19.662777    -19.662778
   2.52081    -19.662672    -19.662673
   2.50450    -19.662554    -19.662555
   2.48819    -19.662421    -19.662423
   2.47188    -19.662278    -19.662280
   2.45557    -19.662124    -19.662125
   2.43925    -19.661960    -19.661961
   2.42294    -19.661787    -19.661788
   2.40663    -19.661605    -19.661607
   2.39032    -19.661419    -19.661420
   2.37401    -19.661229    -19.661230
   2.35770    -19.661035    -19.661036
   2.34139    -19.660840    -19.660842
   2.34139    -19.660840    -19.660842
   2.32542    -19.660841    -19.660843
   2.30945    -19.660846    -19.660847
   2.29348    -19.660852    -19.660853
   2.27751    -19.660860    -19.660861
   2.26154    -19.660870    -19.660872
   2.24557    -19.660883    -19.660884
   2.22960    -19.660897    -19.660899
   2.21363    -19.660912    -19.660913
   2.19766    -19.660929    -19.660930
   2.18169    -19.660947    -19.660948
   2.16572    -19.660966    -19.660967
   2.14975    -19.660986    -19.660987
   2.13378    -19.661006    -19.661007
   2.11781    -19.661026    -19.661027
   2.10184    -19.661045    -19.661046
   2.08587    -19.661063    -19.661065
   2.06990    -19.661082    -19.661083
   2.05393    -19.661098    -19.661100
   2.03796    -19.661114    -19.661115
   2.02199    -19.661128    -19.661129
   2.00602    -19.661140    -19.661141
   1.99005    -19.661150    -19.661152
   1.97408    -19.661159    -19.661160
   1.95811    -19.661165    -19.661166
   1.94214    -19.661168    -19.661170
   1.92617    -19.661169    -19.661170
   1.92617    -19.661169    -19.661170
   1.91028    -19.661460    -19.661461
   1.89439    -19.661795    -19.661797
   1.87850    -19.662133    -19.662134
   1.86260    -19.662473    -19.662475
   1.84671    -19.662814    -19.662815
   1.83082    -19.663155    -19.663156
   1.81493    -19.663493    -19.663494
   1.79904    -19.663831    -19.663832
   1.78315    -19.664164    -19.664166
   1.76725    -19.664493    -19.664495
   1.75136    -19.664815    -19.664816
   1.73547    -19.665133    -19.665135
   1.71958    -19.665443    -19.665444
   1.70369    -19.665743    -19.665745
   1.68780    -19.666035    -19.666036
   1.67190    -19.666315    -19.666316
   1.65601    -19.666584    -19.666586
   1.64012    -19.666841    -19.666842
   1.62423    -19.667085    -19.667086
   1.60834    -19.667314    -19.667315
   1.59245    -19.667529    -19.667530
   1.57655    -19.667727    -19.667729
   1.56066    -19.667911    -19.667912
   1.54477    -19.668078    -19.668079
   1.52888    -19.668225    -19.668226
   1.51299    -19.668354    -19.668355
   1.49710    -19.668464    -19.668465
   1.48120    -19.668555    -19.668556
   1.46531    -19.668626    -19.668627
   1.44942    -19.668676    -19.668678
   1.43353    -19.668707    -19.668708
   1.41764    -19.668723    -19.668724
   1.41764    -19.668723    -19.668724
   1.40207    -19.668706    -19.668708
   1.38650    -19.668677    -19.668679
   1.37093    -19.668629    -19.668630
   1.35535    -19.668561    -19.668562
   1.33978    -19.668474    -19.668475
   1.32421    -19.668369    -19.668370
   1.30864    -19.668246    -19.668247
   1.29307    -19.668105    -19.668106
   1.27750    -19.667946    -19.667948
   1.26193    -19.667773    -19.667774
