#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 171 128
# Band-Index    1
   0.00000    -23.685234    -23.685234
   0.01576    -23.685234    -23.685235
   0.03152    -23.685235    -23.685235
   0.04728    -23.685235    -23.685236
   0.06304    -23.685238    -23.685238
   0.07880    -23.685244    -23.685245
   0.09456    -23.685246    -23.685246
   0.11032    -23.685248    -23.685249
   0.12608    -23.685252    -23.685253
   0.14184    -23.685261    -23.685262
   0.15760    -23.685265    -23.685265
   0.17335    -23.685270    -23.685271
   0.18911    -23.685276    -23.685276
   0.20487    -23.685282    -23.685283
   0.22063    -23.685286    -23.685287
   0.23639    -23.685290    -23.685290
   0.25215    -23.685295    -23.685296
   0.26791    -23.685302    -23.685302
   0.28367    -23.685308    -23.685309
   0.29943    -23.685314    -23.685314
   0.31519    -23.685317    -23.685318
   0.33095    -23.685323    -23.685323
   0.34671    -23.685332    -23.685333
   0.36247    -23.685337    -23.685337
   0.37823    -23.685339    -23.685340
   0.39399    -23.685343    -23.685343
   0.40975    -23.685347    -23.685348
   0.42551    -23.685345    -23.685345
   0.44127    -23.685350    -23.685351
   0.45703    -23.685354    -23.685354
   0.47279    -23.685357    -23.685357
   0.48855    -23.685357    -23.685358
   0.50430    -23.685359    -23.685360
   0.52006    -23.685359    -23.685360
   0.53582    -23.685357    -23.685357
   0.55158    -23.685352    -23.685353
   0.56734    -23.685351    -23.685352
   0.58310    -23.685351    -23.685352
   0.58310    -23.685351    -23.685352
   0.60028    -23.685351    -23.685351
   0.61746    -23.685351    -23.685352
   0.63464    -23.685351    -23.685352
   0.65182    -23.685352    -23.685353
   0.66900    -23.685352    -23.685353
   0.68618    -23.685350    -23.685350
   0.70336    -23.685347    -23.685347
   0.72054    -23.685343    -23.685344
   0.73772    -23.685340    -23.685340
   0.75490    -23.685336    -23.685336
   0.77208    -23.685331    -23.685331
   0.78926    -23.685327    -23.685328
   0.78926    -23.685331    -23.685332
   0.80472    -23.685328    -23.685328
   0.82018    -23.685327    -23.685327
   0.83565    -23.685333    -23.685333
   0.85111    -23.685337    -23.685338
   0.86657    -23.685341    -23.685341
   0.88203    -23.685346    -23.685346
   0.89749    -23.685347    -23.685348
   0.91295    -23.685350    -23.685350
   0.92842    -23.685353    -23.685354
   0.94388    -23.685356    -23.685356
   0.95934    -23.685358    -23.685358
   0.97480    -23.685359    -23.685360
   0.99026    -23.685360    -23.685361
   1.00573    -23.685360    -23.685361
   1.02119    -23.685357    -23.685357
   1.03665    -23.685353    -23.685354
   1.05211    -23.685349    -23.685350
   1.06757    -23.685343    -23.685344
   1.08303    -23.685338    -23.685339
   1.09850    -23.685333    -23.685333
   1.11396    -23.685328    -23.685328
   1.12942    -23.685326    -23.685326
   1.14488    -23.685318    -23.685318
   1.16034    -23.685312    -23.685312
   1.17581    -23.685306    -23.685306
   1.19127    -23.685298    -23.685298
   1.20673    -23.685291    -23.685292
   1.22219    -23.685286    -23.685287
   1.23765    -23.685277    -23.685277
   1.25311    -23.685271    -23.685271
   1.26858    -23.685265    -23.685266
   1.28404    -23.685260    -23.685260
   1.29950    -23.685253    -23.685254
   1.31496    -23.685245    -23.685245
   1.33042    -23.685242    -23.685242
   1.34589    -23.685238    -23.685239
   1.36135    -23.685236    -23.685236
   1.37681    -23.685234    -23.685235
   1.39227    -23.685234    -23.685235
   1.40773    -23.685234    -23.685234
   1.40773    -23.685234    -23.685234
   1.42351    -23.685235    -23.685235
   1.43929    -23.685236    -23.685236
   1.45508    -23.685237    -23.685237
   1.47086    -23.685240    -23.685241
   1.48664    -23.685244    -23.685244
   1.50242    -23.685248    -23.685248
   1.51820    -23.685254    -23.685254
   1.53398    -23.685263    -23.685263
   1.54976    -23.685269    -23.685269
   1.56554    -23.685278    -23.685278
   1.58132    -23.685285    -23.685285
   1.59710    -23.685292    -23.685292
   1.61288    -23.685299    -23.685300
   1.62866    -23.685308    -23.685309
   1.64444    -23.685317    -23.685317
   1.66022    -23.685328    -23.685329
   1.67600    -23.685337    -23.685338
   1.69179    -23.685345    -23.685345
   1.70757    -23.685354    -23.685355
   1.72335    -23.685364    -23.685365
   1.73913    -23.685374    -23.685375
   1.75491    -23.685382    -23.685382
   1.77069    -23.685388    -23.685388
   1.78647    -23.685394    -23.685394
   1.80225    -23.685399    -23.685400
   1.81803    -23.685403    -23.685403
   1.83381    -23.685405    -23.685406
   1.84959    -23.685410    -23.685410
   1.86537    -23.685417    -23.685417
   1.88115    -23.685421    -23.685421
   1.89693    -23.685424    -23.685424
   1.91271    -23.685424    -23.685425
   1.91271    -23.685424    -23.685425
   1.92857    -23.685424    -23.685424
   1.94443    -23.685423    -23.685423
   1.96029    -23.685421    -23.685421
   1.97615    -23.685418    -23.685418
   1.99201    -23.685413    -23.685413
   2.00786    -23.685410    -23.685410
   2.02372    -23.685405    -23.685405
   2.03958    -23.685401    -23.685402
   2.05544    -23.685398    -23.685398
   2.07130    -23.685394    -23.685394
   2.08716    -23.685389    -23.685389
   2.10301    -23.685383    -23.685383
   2.11887    -23.685377    -23.685378
   2.13473    -23.685371    -23.685371
   2.15059    -23.685365    -23.685366
   2.16645    -23.685359    -23.685360
   2.18231    -23.685353    -23.685354
   2.19816    -23.685348    -23.685349
   2.21402    -23.685343    -23.685344
   2.22988    -23.685338    -23.685338
   2.24574    -23.685330    -23.685331
   2.26160    -23.685325    -23.685325
   2.27745    -23.685319    -23.685320
   2.29331    -23.685312    -23.685313
   2.30917    -23.685310    -23.685310
   2.32503    -23.685311    -23.685311
   2.32503    -23.685311    -23.685311
   2.34123    -23.685311    -23.685311
   2.35742    -23.685315    -23.685316
   2.37362    -23.685321    -23.685322
   2.38982    -23.685326    -23.685327
   2.40602    -23.685331    -23.685332
   2.42221    -23.685335    -23.685335
   2.43841    -23.685338    -23.685338
   2.45461    -23.685341    -23.685341
   2.47081    -23.685344    -23.685344
   2.48700    -23.685346    -23.685346
   2.50320    -23.685348    -23.685349
   2.51940    -23.685350    -23.685350
   2.53559    -23.685352    -23.685352
   2.55179    -23.685352    -23.685352
   2.56799    -23.685351    -23.685352
   2.58419    -23.685351    -23.685351
   2.60038    -23.685351    -23.685351
   2.61658    -23.685351    -23.685352
 
# Band-Index    2
   2.61658    -23.685266    -23.685267
   2.60038    -23.685266    -23.685266
   2.58419    -23.685267    -23.685267
   2.56799    -23.685268    -23.685269
   2.55179    -23.685270    -23.685271
   2.53559    -23.685271    -23.685272
   2.51940    -23.685274    -23.685274
   2.50320    -23.685275    -23.685276
   2.48700    -23.685278    -23.685279
   2.47081    -23.685281    -23.685282
   2.45461    -23.685285    -23.685285
   2.43841    -23.685288    -23.685289
   2.42221    -23.685292    -23.685292
   2.40602    -23.685295    -23.685295
   2.38982    -23.685297    -23.685298
