#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 259  80
# Band-Index    1
   0.00000    -67.346215    -64.408422
   0.01558    -67.346222    -64.408431
   0.03116    -67.346225    -64.408436
   0.04674    -67.346230    -64.408440
   0.06232    -67.346206    -64.408415
   0.07790    -67.346189    -64.408407
   0.09348    -67.346194    -64.408405
   0.10906    -67.346193    -64.408408
   0.12464    -67.346221    -64.408434
   0.14022    -67.346207    -64.408422
   0.15580    -67.346203    -64.408417
   0.17138    -67.346178    -64.408400
   0.18696    -67.346171    -64.408392
   0.20254    -67.346155    -64.408379
   0.21812    -67.346193    -64.408412
   0.23370    -67.346177    -64.408398
   0.24928    -67.346210    -64.408429
   0.26486    -67.346230    -64.408446
   0.28044    -67.346252    -64.408468
   0.29602    -67.346245    -64.408461
   0.31160    -67.346246    -64.408462
   0.32717    -67.346225    -64.408442
   0.34275    -67.346226    -64.408443
   0.35833    -67.346234    -64.408450
   0.37391    -67.346225    -64.408443
   0.38949    -67.346196    -64.408413
   0.40507    -67.346193    -64.408409
   0.42065    -67.346167    -64.408387
   0.43623    -67.346167    -64.408387
   0.45181    -67.346148    -64.408373
   0.46739    -67.346149    -64.408373
   0.48297    -67.346163    -64.408388
   0.49855    -67.346165    -64.408391
   0.51413    -67.346154    -64.408381
   0.52971    -67.346154    -64.408381
   0.54529    -67.346136    -64.408364
   0.56087    -67.346122    -64.408352
   0.57645    -67.346123    -64.408353
   0.59203    -67.346123    -64.408353
   0.59203    -67.346123    -64.408353
   0.60858    -67.346105    -64.408335
   0.62512    -67.346107    -64.408333
   0.64167    -67.346113    -64.408339
   0.65822    -67.346142    -64.408370
   0.67476    -67.346135    -64.408357
   0.69131    -67.346183    -64.408398
   0.70786    -67.346166    -64.408380
   0.72440    -67.346158    -64.408373
   0.74095    -67.346151    -64.408368
   0.75750    -67.346168    -64.408387
   0.77404    -67.346228    -64.408441
   0.79059    -67.346233    -64.408450
   0.80714    -67.346269    -64.408487
   0.82369    -67.346305    -64.408520
   0.84023    -67.346281    -64.408491
   0.85678    -67.346269    -64.408482
   0.87333    -67.346250    -64.408466
   0.88987    -67.346267    -64.408481
   0.90642    -67.346248    -64.408466
   0.90642    -67.346248    -64.408466
   0.92241    -67.346249    -64.408467
   0.93840    -67.346254    -64.408471
   0.95439    -67.346245    -64.408462
   0.97038    -67.346248    -64.408466
   0.98637    -67.346259    -64.408474
   1.00235    -67.346255    -64.408471
   1.01834    -67.346259    -64.408476
   1.03433    -67.346264    -64.408478
   1.05032    -67.346266    -64.408480
   1.06631    -67.346257    -64.408472
   1.08230    -67.346254    -64.408470
   1.09829    -67.346245    -64.408463
   1.11428    -67.346235    -64.408454
   1.13027    -67.346240    -64.408457
   1.14626    -67.346245    -64.408462
   1.16225    -67.346240    -64.408458
   1.17824    -67.346241    -64.408457
   1.19423    -67.346238    -64.408454
   1.21021    -67.346240    -64.408455
   1.22620    -67.346229    -64.408444
   1.24219    -67.346230    -64.408445
   1.25818    -67.346226    -64.408443
   1.27417    -67.346214    -64.408429
   1.29016    -67.346211    -64.408429
   1.30615    -67.346213    -64.408431
   1.32214    -67.346212    -64.408431
   1.33813    -67.346219    -64.408438
   1.33813    -67.346219    -64.408438
   1.35384    -67.346213    -64.408432
   1.36955    -67.346211    -64.408432
   1.38525    -67.346203    -64.408427
   1.40096    -67.346209    -64.408432
   1.41667    -67.346226    -64.408447
   1.43238    -67.346218    -64.408438
   1.44809    -67.346211    -64.408434
   1.46380    -67.346202    -64.408424
   1.47950    -67.346199    -64.408418
   1.49521    -67.346206    -64.408425
   1.51092    -67.346205    -64.408423
   1.52663    -67.346215    -64.408433
   1.54234    -67.346198    -64.408417
   1.55805    -67.346193    -64.408411
   1.57375    -67.346199    -64.408418
   1.58946    -67.346204    -64.408424
   1.60517    -67.346213    -64.408432
   1.62088    -67.346212    -64.408430
   1.63659    -67.346209    -64.408428
   1.65230    -67.346221    -64.408438
   1.66800    -67.346227    -64.408442
   1.68371    -67.346234    -64.408447
   1.69942    -67.346220    -64.408434
   1.71513    -67.346217    -64.408431
   1.73084    -67.346228    -64.408441
   1.74655    -67.346252    -64.408466
   1.76225    -67.346256    -64.408472
   1.77796    -67.346255    -64.408469
   1.79367    -67.346255    -64.408468
   1.80938    -67.346243    -64.408457
   1.82509    -67.346240    -64.408453
   1.84080    -67.346234    -64.408444
   1.85651    -67.346217    -64.408425
   1.87221    -67.346215    -64.408422
   1.87221    -67.346215    -64.408422
   1.88793    -67.346215    -64.408423
   1.90365    -67.346259    -64.408469
   1.91937    -67.346277    -64.408486
   1.93509    -67.346241    -64.408458
   1.95081    -67.346249    -64.408468
   1.96653    -67.346234    -64.408454
   1.98225    -67.346196    -64.408416
   1.99797    -67.346214    -64.408429
   2.01369    -67.346202    -64.408420
   2.02941    -67.346211    -64.408428
   2.04513    -67.346202    -64.408421
   2.06085    -67.346208    -64.408425
   2.07657    -67.346187    -64.408406
   2.09229    -67.346212    -64.408436
   2.10800    -67.346196    -64.408421
   2.12372    -67.346209    -64.408435
   2.13944    -67.346211    -64.408441
   2.15516    -67.346232    -64.408464
   2.17088    -67.346248    -64.408477
   2.18660    -67.346229    -64.408459
   2.20232    -67.346199    -64.408428
   2.21804    -67.346195    -64.408419
   2.23376    -67.346197    -64.408424
   2.24948    -67.346199    -64.408422
   2.26520    -67.346221    -64.408444
   2.28092    -67.346213    -64.408434
   2.29664    -67.346225    -64.408450
   2.31236    -67.346232    -64.408454
   2.32808    -67.346242    -64.408459
   2.34380    -67.346279    -64.408493
   2.35952    -67.346285    -64.408502
   2.37523    -67.346283    -64.408496
   2.39095    -67.346255    -64.408469
   2.40667    -67.346253    -64.408463
