#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 272 160
# Band-Index    1
   0.00000    -71.946688    -71.953595
   0.01592    -71.946689    -71.953596
   0.03184    -71.946702    -71.953609
   0.04776    -71.946704    -71.953611
   0.06367    -71.946705    -71.953612
   0.07959    -71.946706    -71.953613
   0.09551    -71.946694    -71.953601
   0.11143    -71.946683    -71.953590
   0.12735    -71.946686    -71.953594
   0.14327    -71.946685    -71.953592
   0.15918    -71.946694    -71.953602
   0.17510    -71.946688    -71.953595
   0.19102    -71.946694    -71.953602
   0.20694    -71.946689    -71.953596
   0.22286    -71.946696    -71.953604
   0.23878    -71.946696    -71.953603
   0.25469    -71.946710    -71.953617
   0.27061    -71.946715    -71.953622
   0.28653    -71.946720    -71.953627
   0.30245    -71.946719    -71.953626
   0.31837    -71.946715    -71.953622
   0.33429    -71.946711    -71.953619
   0.35020    -71.946707    -71.953615
   0.36612    -71.946722    -71.953629
   0.38204    -71.946717    -71.953624
   0.39796    -71.946712    -71.953620
   0.41388    -71.946700    -71.953607
   0.41388    -71.946700    -71.953607
   0.42968    -71.946702    -71.953610
   0.44549    -71.946705    -71.953613
   0.46129    -71.946707    -71.953615
   0.47710    -71.946708    -71.953615
   0.49290    -71.946709    -71.953616
   0.50871    -71.946709    -71.953616
   0.52451    -71.946705    -71.953612
   0.54032    -71.946714    -71.953621
   0.55612    -71.946708    -71.953615
   0.57193    -71.946712    -71.953620
   0.58773    -71.946724    -71.953631
   0.60354    -71.946720    -71.953628
   0.61934    -71.946722    -71.953630
   0.63514    -71.946723    -71.953630
   0.65095    -71.946721    -71.953629
   0.66675    -71.946727    -71.953634
   0.68256    -71.946730    -71.953637
   0.69836    -71.946729    -71.953637
   0.71417    -71.946733    -71.953641
   0.71417    -71.946733    -71.953641
   0.73009    -71.946730    -71.953638
   0.74600    -71.946725    -71.953632
   0.76192    -71.946732    -71.953639
   0.77784    -71.946732    -71.953640
   0.79376    -71.946737    -71.953645
   0.80968    -71.946728    -71.953635
   0.82560    -71.946721    -71.953628
   0.84152    -71.946716    -71.953623
   0.85743    -71.946708    -71.953616
   0.87335    -71.946714    -71.953622
   0.88927    -71.946725    -71.953633
   0.90519    -71.946715    -71.953622
   0.92111    -71.946719    -71.953626
   0.93703    -71.946720    -71.953627
   0.95294    -71.946706    -71.953614
   0.96886    -71.946696    -71.953603
   0.98478    -71.946697    -71.953604
   1.00070    -71.946687    -71.953594
   1.01662    -71.946672    -71.953579
   1.03254    -71.946670    -71.953577
   1.04845    -71.946667    -71.953574
   1.06437    -71.946667    -71.953574
   1.08029    -71.946670    -71.953577
   1.09621    -71.946658    -71.953565
   1.11213    -71.946655    -71.953562
   1.12805    -71.946655    -71.953562
   1.12805    -71.946655    -71.953562
   1.14385    -71.946651    -71.953559
   1.15966    -71.946656    -71.953563
   1.17546    -71.946656    -71.953563
   1.19127    -71.946662    -71.953570
   1.20707    -71.946669    -71.953577
   1.22287    -71.946681    -71.953588
   1.23868    -71.946689    -71.953596
   1.25448    -71.946692    -71.953599
   1.27029    -71.946693    -71.953600
   1.28609    -71.946695    -71.953602
   1.30190    -71.946691    -71.953599
   1.31770    -71.946687    -71.953594
   1.33351    -71.946686    -71.953593
   1.34931    -71.946690    -71.953597
   1.36512    -71.946690    -71.953597
   1.38092    -71.946690    -71.953597
   1.39673    -71.946689    -71.953596
   1.41253    -71.946686    -71.953593
   1.42834    -71.946688    -71.953595
   1.42834    -71.946688    -71.953595
   1.44412    -71.946697    -71.953604
   1.45991    -71.946698    -71.953605
   1.47570    -71.946698    -71.953605
   1.49148    -71.946695    -71.953602
   1.50727    -71.946681    -71.953588
   1.52306    -71.946686    -71.953593
   1.53884    -71.946694    -71.953601
   1.55463    -71.946691    -71.953598
   1.57042    -71.946690    -71.953597
   1.58620    -71.946688    -71.953595
   1.60199    -71.946689    -71.953596
   1.61778    -71.946683    -71.953590
   1.63356    -71.946683    -71.953591
   1.64935    -71.946687    -71.953594
   1.66514    -71.946678    -71.953585
   1.68092    -71.946676    -71.953584
   1.69671    -71.946675    -71.953582
   1.71250    -71.946676    -71.953583
   1.72828    -71.946679    -71.953586
   1.74407    -71.946689    -71.953596
   1.75986    -71.946679    -71.953586
   1.77564    -71.946677    -71.953584
   1.79143    -71.946674    -71.953581
   1.80722    -71.946674    -71.953581
   1.82300    -71.946675    -71.953582
   1.83879    -71.946666    -71.953574
   1.85458    -71.946663    -71.953571
   1.87036    -71.946667    -71.953575
   1.88615    -71.946668    -71.953575
   1.90194    -71.946675    -71.953582
   1.91772    -71.946687    -71.953594
   1.93351    -71.946688    -71.953595
   1.94930    -71.946697    -71.953604
   1.94930    -71.946697    -71.953604
   1.96522    -71.946687    -71.953594
   1.98113    -71.946686    -71.953593
   1.99705    -71.946674    -71.953581
   2.01297    -71.946678    -71.953585
   2.02889    -71.946681    -71.953588
   2.04481    -71.946687    -71.953594
   2.06073    -71.946693    -71.953600
   2.07664    -71.946699    -71.953607
   2.09256    -71.946709    -71.953617
   2.10848    -71.946708    -71.953615
   2.12440    -71.946700    -71.953608
   2.14032    -71.946707    -71.953614
   2.15624    -71.946700    -71.953607
   2.17216    -71.946704    -71.953611
   2.18807    -71.946694    -71.953602
   2.20399    -71.946697    -71.953604
   2.21991    -71.946702    -71.953609
   2.23583    -71.946699    -71.953607
   2.25175    -71.946696    -71.953603
   2.26767    -71.946700    -71.953608
   2.28358    -71.946695    -71.953602
   2.29950    -71.946698    -71.953606
   2.31542    -71.946704    -71.953611
   2.33134    -71.946703    -71.953610
   2.34726    -71.946688    -71.953595
   2.36318    -71.946681    -71.953588
   2.36318    -71.946681    -71.953588
   2.37896    -71.946693    -71.953600
   2.39475    -71.946690    -71.953597
   2.41054    -71.946685    -71.953593
   2.42632    -71.946692    -71.953599
   2.44211    -71.946688    -71.953595
   2.45790    -71.946678    -71.953585
   2.47368    -71.946679    -71.953587
   2.48947    -71.946678    -71.953585
   2.50526    -71.946687    -71.953594
   2.52104    -71.946701    -71.953608
   2.53683    -71.946706    -71.953613
   2.55262    -71.946703    -71.953611
   2.56840    -71.946703    -71.953610
   2.58419    -71.946700    -71.953608
   2.59998    -71.946707    -71.953615
   2.61576    -71.946705    -71.953612
   2.63155    -71.946713    -71.953620
   2.64734    -71.946717    -71.953624
   2.66312    -71.946720    -71.953627
   2.67891    -71.946717    -71.953625
   2.69470    -71.946723    -71.953630
   2.71048    -71.946722    -71.953629
   2.72627    -71.946719    -71.953627
   2.74206    -71.946722    -71.953629
   2.75784    -71.946723    -71.953630
   2.77363    -71.946723    -71.953631
   2.78942    -71.946713    -71.953620
   2.80520    -71.946718    -71.953626
   2.82099    -71.946715    -71.953622
   2.83678    -71.946712    -71.953619
   2.85256    -71.946714    -71.953621
   2.86835    -71.946701    -71.953609
   2.88414    -71.946700    -71.953607
   2.88414    -71.946700    -71.953607
   2.89987    -71.946700    -71.953608
   2.91561    -71.946708    -71.953615
   2.93134    -71.946716    -71.953624
   2.94708    -71.946718    -71.953626
   2.96282    -71.946727    -71.953634
   2.97855    -71.946733    -71.953641
   2.99429    -71.946735    -71.953643
   3.01002    -71.946731    -71.953639
   3.02576    -71.946718    -71.953625
   3.04149    -71.946715    -71.953622
   3.05723    -71.946713    -71.953621
   3.07297    -71.946709    -71.953616
   3.08870    -71.946709    -71.953617
   3.10444    -71.946707    -71.953615
   3.12017    -71.946704    -71.953612
   3.13591    -71.946699    -71.953607
   3.15164    -71.946700    -71.953608
   3.16738    -71.946700    -71.953608
   3.18312    -71.946702    -71.953609
   3.19885    -71.946708    -71.953616
   3.21459    -71.946710    -71.953617
   3.23032    -71.946715    -71.953622
   3.24606    -71.946706    -71.953613
   3.26179    -71.946704    -71.953612
   3.27753    -71.946703    -71.953610
   3.29326    -71.946701    -71.953608
   3.30900    -71.946694    -71.953602
   3.30900    -71.946694    -71.953602
   3.32492    -71.946701    -71.953608
   3.34084    -71.946700    -71.953607
   3.35676    -71.946702    -71.953609
   3.37267    -71.946699    -71.953607
   3.38859    -71.946699    -71.953606
