#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 250 128
# Band-Index    1
   0.00000    -20.837507    -20.837440
   0.01572    -20.837501    -20.837434
   0.03144    -20.837485    -20.837418
   0.04716    -20.837458    -20.837391
   0.06287    -20.837420    -20.837353
   0.07859    -20.837372    -20.837305
   0.09431    -20.837314    -20.837247
   0.11003    -20.837246    -20.837179
   0.12575    -20.837170    -20.837103
   0.14147    -20.837085    -20.837019
   0.15718    -20.836994    -20.836927
   0.17290    -20.836895    -20.836829
   0.18862    -20.836791    -20.836725
   0.20434    -20.836682    -20.836616
   0.22006    -20.836569    -20.836503
   0.23578    -20.836453    -20.836388
   0.25149    -20.836336    -20.836270
   0.26721    -20.836217    -20.836151
   0.28293    -20.836098    -20.836032
   0.29865    -20.835979    -20.835914
   0.31437    -20.835863    -20.835798
   0.33009    -20.835751    -20.835685
   0.34580    -20.835642    -20.835577
   0.36152    -20.835538    -20.835473
   0.37724    -20.835440    -20.835375
   0.39296    -20.835348    -20.835283
   0.40868    -20.835264    -20.835199
   0.42440    -20.835188    -20.835123
   0.44011    -20.835120    -20.835056
   0.45583    -20.835062    -20.834998
   0.47155    -20.835015    -20.834950
   0.48727    -20.834977    -20.834913
   0.50299    -20.834950    -20.834886
   0.51871    -20.834933    -20.834869
   0.53442    -20.834928    -20.834864
   0.53442    -20.837049    -20.836985
   0.55035    -20.837051    -20.836986
   0.56627    -20.837055    -20.836991
   0.58220    -20.837062    -20.836998
   0.59812    -20.837072    -20.837008
   0.61405    -20.837085    -20.837020
   0.62997    -20.837099    -20.837035
   0.64590    -20.837117    -20.837052
   0.66183    -20.837136    -20.837071
   0.67775    -20.837156    -20.837092
   0.69368    -20.837179    -20.837114
   0.70960    -20.837202    -20.837137
   0.72553    -20.837227    -20.837162
   0.74145    -20.837253    -20.837187
   0.75738    -20.837278    -20.837212
   0.77330    -20.837304    -20.837238
   0.78923    -20.837329    -20.837263
   0.80515    -20.837354    -20.837288
   0.82108    -20.837377    -20.837311
   0.83700    -20.837400    -20.837333
   0.85293    -20.837421    -20.837354
   0.86885    -20.837440    -20.837374
   0.88478    -20.837457    -20.837391
   0.90070    -20.837472    -20.837405
   0.91663    -20.837484    -20.837418
   0.93255    -20.837494    -20.837427
   0.94848    -20.837501    -20.837434
   0.96440    -20.837505    -20.837438
   0.98033    -20.837507    -20.837440
   0.98033    -20.837507    -20.837440
   0.99629    -20.837506    -20.837439
   1.01225    -20.837503    -20.837436
   1.02821    -20.837499    -20.837432
   1.04418    -20.837493    -20.837426
   1.06014    -20.837486    -20.837419
   1.07610    -20.837477    -20.837410
   1.09206    -20.837466    -20.837399
   1.10802    -20.837455    -20.837388
   1.12398    -20.837442    -20.837376
   1.13995    -20.837429    -20.837363
   1.15591    -20.837416    -20.837349
   1.17187    -20.837402    -20.837335
   1.18783    -20.837388    -20.837321
   1.20379    -20.837374    -20.837307
   1.21976    -20.837360    -20.837294
   1.23572    -20.837347    -20.837280
   1.25168    -20.837335    -20.837268
   1.26764    -20.837323    -20.837257
   1.28360    -20.837313    -20.837246
   1.29956    -20.837304    -20.837238
   1.31553    -20.837296    -20.837230
   1.33149    -20.837290    -20.837224
   1.34745    -20.837286    -20.837219
   1.36341    -20.837283    -20.837217
   1.37937    -20.837282    -20.837216
   1.37937    -20.834726    -20.834663
   1.39487    -20.834729    -20.834667
   1.41036    -20.834741    -20.834678
   1.42586    -20.834759    -20.834697
   1.44135    -20.834785    -20.834723
   1.45685    -20.834818    -20.834756
   1.47234    -20.834859    -20.834796
   1.48784    -20.834906    -20.834843
   1.50333    -20.834960    -20.834897
   1.51883    -20.835020    -20.834957
   1.53433    -20.835086    -20.835023
   1.54982    -20.835158    -20.835095
   1.56532    -20.835235    -20.835172
   1.58081    -20.835317    -20.835254
   1.59631    -20.835404    -20.835340
   1.61180    -20.835494    -20.835431
   1.62730    -20.835588    -20.835524
   1.64279    -20.835685    -20.835621
   1.65829    -20.835785    -20.835721
   1.67378    -20.835886    -20.835822
   1.68928    -20.835989    -20.835925
   1.70477    -20.836093    -20.836028
   1.72027    -20.836197    -20.836132
   1.73576    -20.836301    -20.836236
   1.75126    -20.836404    -20.836339
   1.76675    -20.836505    -20.836440
   1.78225    -20.836604    -20.836539
   1.79774    -20.836701    -20.836635
   1.81324    -20.836794    -20.836728
   1.82873    -20.836884    -20.836818
   1.84423    -20.836969    -20.836903
   1.85973    -20.837050    -20.836984
   1.87522    -20.837125    -20.837059
   1.89072    -20.837195    -20.837128
   1.90621    -20.837258    -20.837192
   1.92171    -20.837315    -20.837249
   1.93720    -20.837365    -20.837298
   1.95270    -20.837408    -20.837341
   1.96819    -20.837443    -20.837376
   1.98369    -20.837471    -20.837404
   1.99918    -20.837491    -20.837424
   2.01468    -20.837503    -20.837436
   2.03017    -20.837507    -20.837440
   2.03017    -20.837507    -20.837440
   2.04595    -20.837505    -20.837438
   2.06172    -20.837501    -20.837434
   2.07750    -20.837495    -20.837428
   2.09328    -20.837485    -20.837418
   2.10905    -20.837473    -20.837406
   2.12483    -20.837459    -20.837392
   2.14060    -20.837442    -20.837375
   2.15638    -20.837423    -20.837357
   2.17215    -20.837402    -20.837336
   2.18793    -20.837380    -20.837314
   2.20371    -20.837356    -20.837290
   2.21948    -20.837331    -20.837265
   2.23526    -20.837305    -20.837239
   2.25103    -20.837278    -20.837212
   2.26681    -20.837250    -20.837184
   2.28258    -20.837222    -20.837157
   2.29836    -20.837194    -20.837129
   2.31414    -20.837166    -20.837101
   2.32991    -20.837138    -20.837073
   2.34569    -20.837111    -20.837047
   2.36146    -20.837086    -20.837021
   2.37724    -20.837061    -20.836996
   2.39301    -20.837038    -20.836973
   2.40879    -20.837016    -20.836951
   2.42457    -20.836996    -20.836932
   2.44034    -20.836977    -20.836913
   2.45612    -20.836961    -20.836897
   2.47189    -20.836948    -20.836884
   2.48767    -20.836936    -20.836872
   2.50344    -20.836927    -20.836864
   2.51922    -20.836921    -20.836857
   2.53500    -20.836917    -20.836853
   2.55077    -20.836916    -20.836852
   2.55077    -20.834832    -20.834768
   2.56622    -20.834836    -20.834772
   2.58167    -20.834849    -20.834785
   2.59713    -20.834870    -20.834806
   2.61258    -20.834899    -20.834836
   2.62803    -20.834937    -20.834873
   2.64348    -20.834982    -20.834918
   2.65893    -20.835034    -20.834970
   2.67438    -20.835094    -20.835030
   2.68984    -20.835161    -20.835097
   2.70529    -20.835234    -20.835170
   2.72074    -20.835314    -20.835250
   2.73619    -20.835399    -20.835334
   2.75164    -20.835489    -20.835424
   2.76709    -20.835583    -20.835518
   2.78254    -20.835681    -20.835616
   2.79800    -20.835783    -20.835718
   2.81345    -20.835887    -20.835821
   2.82890    -20.835993    -20.835927
   2.84435    -20.836100    -20.836034
   2.85980    -20.836207    -20.836142
   2.87525    -20.836315    -20.836250
   2.89071    -20.836422    -20.836356
   2.90616    -20.836527    -20.836461
   2.92161    -20.836630    -20.836564
   2.93706    -20.836730    -20.836664
   2.95251    -20.836826    -20.836760
   2.96796    -20.836918    -20.836852
   2.98342    -20.837006    -20.836939
   2.99887    -20.837087    -20.837021
   3.01432    -20.837163    -20.837097
   3.02977    -20.837233    -20.837166
   3.04522    -20.837295    -20.837229
   3.06067    -20.837350    -20.837284
   3.07612    -20.837397    -20.837331
   3.09158    -20.837437    -20.837370
   3.10703    -20.837467    -20.837400
   3.12248    -20.837489    -20.837422
   3.13793    -20.837502    -20.837435
   3.15338    -20.837507    -20.837440
   3.15338    -20.837507    -20.837440
   3.16905    -20.837503    -20.837436
   3.18472    -20.837491    -20.837424
   3.20039    -20.837472    -20.837405
   3.21606    -20.837445    -20.837378
   3.23172    -20.837411    -20.837344
   3.24739    -20.837369    -20.837303
   3.26306    -20.837321    -20.837254
   3.27873    -20.837266    -20.837199
   3.29440    -20.837204    -20.837137
   3.31007    -20.837136    -20.837070
   3.32573    -20.837063    -20.836997
   3.34140    -20.836985    -20.836919
   3.35707    -20.836902    -20.836836
   3.37274    -20.836815    -20.836749
   3.38841    -20.836725    -20.836659
   3.40408    -20.836631    -20.836565
   3.41974    -20.836535    -20.836469
   3.43541    -20.836436    -20.836371
   3.45108    -20.836337    -20.836272
   3.46675    -20.836237    -20.836172
   3.48242    -20.836136    -20.836071
   3.49809    -20.836036    -20.835971
   3.51375    -20.835936    -20.835871
   3.52942    -20.835837    -20.835773
   3.54509    -20.835741    -20.835677
   3.56076    -20.835647    -20.835583
   3.57643    -20.835556    -20.835492
   3.59210    -20.835468    -20.835404
   3.60776    -20.835384    -20.835321
   3.62343    -20.835305    -20.835242
   3.63910    -20.835231    -20.835167
   3.65477    -20.835161    -20.835098
   3.67044    -20.835098    -20.835034
   3.68610    -20.835040    -20.834977
   3.70177    -20.834988    -20.834925
   3.71744    -20.834942    -20.834879
   3.73311    -20.834903    -20.834840
   3.74878    -20.834871    -20.834808
   3.76445    -20.834846    -20.834783
   3.78011    -20.834828    -20.834765
   3.79578    -20.834817    -20.834754
   3.81145    -20.834813    -20.834750
 
# Band-Index    2
   3.81145    -20.621498    -20.621550
   3.79578    -20.621502    -20.621554
   3.78011    -20.621514    -20.621566
   3.76445    -20.621533    -20.621585
   3.74878    -20.621560    -20.621612
   3.73311    -20.621595    -20.621646
   3.71744    -20.621636    -20.621687
   3.70177    -20.621684    -20.621736
   3.68610    -20.621739    -20.621790
   3.67044    -20.621800    -20.621851
   3.65477    -20.621868    -20.621918
   3.63910    -20.621940    -20.621991
   3.62343    -20.622018    -20.622068
   3.60776    -20.622100    -20.622150
   3.59210    -20.622187    -20.622237
   3.57643    -20.622277    -20.622326
   3.56076    -20.622370    -20.622419
   3.54509    -20.622466    -20.622515
   3.52942    -20.622564    -20.622613
   3.51375    -20.622663    -20.622712
   3.49809    -20.622763    -20.622812
   3.48242    -20.622864    -20.622912
   3.46675    -20.622964    -20.623011
   3.45108    -20.623062    -20.623110
   3.43541    -20.623160    -20.623207
   3.41974    -20.623256    -20.623303
   3.40408    -20.623349    -20.623396
   3.38841    -20.623440    -20.623486
   3.37274    -20.623527    -20.623573
   3.35707    -20.623610    -20.623656
   3.34140    -20.623689    -20.623735
   3.32573    -20.623764    -20.623809
   3.31007    -20.623833    -20.623878
   3.29440    -20.623896    -20.623941
   3.27873    -20.623954    -20.623999
   3.26306    -20.624005    -20.624050
   3.24739    -20.624051    -20.624096
   3.23172    -20.624089    -20.624134
   3.21606    -20.624121    -20.624166
   3.20039    -20.624146    -20.624191
   3.18472    -20.624164    -20.624209
   3.16905    -20.624175    -20.624219
   3.15338    -20.624178    -20.624223
