#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 301 128
# Band-Index    1
   0.00000    -40.741422    -40.741423
   0.01586    -40.741422    -40.741423
   0.03173    -40.741422    -40.741423
   0.04759    -40.741421    -40.741422
   0.06345    -40.741421    -40.741422
   0.07932    -40.741420    -40.741421
   0.09518    -40.741420    -40.741421
   0.11105    -40.741420    -40.741421
   0.12691    -40.741420    -40.741421
   0.14277    -40.741421    -40.741422
   0.15864    -40.741421    -40.741422
   0.17450    -40.741420    -40.741421
   0.19036    -40.741420    -40.741421
   0.20623    -40.741420    -40.741420
   0.22209    -40.741419    -40.741420
   0.23795    -40.741418    -40.741419
   0.25382    -40.741419    -40.741419
   0.26968    -40.741418    -40.741419
   0.28555    -40.741418    -40.741419
   0.30141    -40.741418    -40.741419
   0.31727    -40.741418    -40.741419
   0.33314    -40.741419    -40.741420
   0.34900    -40.741418    -40.741419
   0.36486    -40.741418    -40.741419
   0.38073    -40.741417    -40.741418
   0.39659    -40.741417    -40.741418
   0.41245    -40.741416    -40.741417
   0.42832    -40.741416    -40.741417
   0.44418    -40.741416    -40.741417
   0.46005    -40.741416    -40.741417
   0.47591    -40.741417    -40.741418
   0.49177    -40.741417    -40.741418
   0.50764    -40.741418    -40.741419
   0.50764    -40.741418    -40.741419
   0.52331    -40.741417    -40.741418
   0.53899    -40.741417    -40.741418
   0.55467    -40.741416    -40.741417
   0.57035    -40.741416    -40.741417
   0.58603    -40.741416    -40.741417
   0.60171    -40.741416    -40.741417
   0.61739    -40.741416    -40.741417
   0.63306    -40.741416    -40.741417
   0.64874    -40.741417    -40.741418
   0.66442    -40.741417    -40.741418
   0.68010    -40.741418    -40.741419
   0.69578    -40.741418    -40.741419
   0.71146    -40.741418    -40.741419
   0.72714    -40.741418    -40.741419
   0.74282    -40.741419    -40.741420
   0.75849    -40.741419    -40.741420
   0.77417    -40.741418    -40.741419
   0.78985    -40.741418    -40.741419
   0.80553    -40.741418    -40.741419
   0.82121    -40.741418    -40.741419
   0.83689    -40.741418    -40.741419
   0.85257    -40.741418    -40.741419
   0.86824    -40.741418    -40.741418
   0.88392    -40.741417    -40.741418
   0.89960    -40.741417    -40.741418
   0.91528    -40.741418    -40.741419
   0.93096    -40.741418    -40.741419
   0.94664    -40.741418    -40.741419
   0.96232    -40.741418    -40.741419
   0.97799    -40.741418    -40.741419
   0.99367    -40.741419    -40.741419
   0.99367    -40.741419    -40.741419
   1.00935    -40.741418    -40.741419
   1.02503    -40.741418    -40.741419
   1.04071    -40.741418    -40.741419
   1.05638    -40.741418    -40.741419
   1.07206    -40.741418    -40.741419
   1.08774    -40.741417    -40.741418
   1.10342    -40.741417    -40.741418
   1.11910    -40.741418    -40.741418
   1.13477    -40.741418    -40.741419
   1.15045    -40.741418    -40.741419
   1.16613    -40.741418    -40.741419
   1.18181    -40.741418    -40.741419
   1.19749    -40.741418    -40.741419
   1.21316    -40.741418    -40.741419
   1.22884    -40.741419    -40.741420
   1.24452    -40.741419    -40.741420
   1.26020    -40.741418    -40.741419
   1.27588    -40.741418    -40.741419
   1.29155    -40.741418    -40.741419
   1.30723    -40.741418    -40.741419
   1.32291    -40.741417    -40.741418
   1.33859    -40.741417    -40.741418
   1.35427    -40.741416    -40.741417
   1.36994    -40.741416    -40.741417
   1.38562    -40.741416    -40.741417
   1.40130    -40.741416    -40.741417
   1.41698    -40.741416    -40.741417
   1.43266    -40.741416    -40.741417
   1.44833    -40.741417    -40.741418
   1.46401    -40.741417    -40.741418
   1.47969    -40.741418    -40.741419
   1.47969    -40.741418    -40.741419
   1.49555    -40.741417    -40.741418
   1.51141    -40.741417    -40.741418
   1.52727    -40.741416    -40.741417
   1.54314    -40.741416    -40.741417
   1.55900    -40.741416    -40.741417
   1.57486    -40.741416    -40.741417
   1.59072    -40.741417    -40.741418
   1.60658    -40.741417    -40.741418
   1.62244    -40.741418    -40.741419
   1.63830    -40.741418    -40.741419
   1.65417    -40.741419    -40.741419
   1.67003    -40.741418    -40.741419
