#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 292 128
# Band-Index    1
   0.00000    -45.954385    -42.008125
   0.01552    -45.954385    -42.008120
   0.03104    -45.954388    -42.008123
   0.04656    -45.954385    -42.008123
   0.06209    -45.954372    -42.008101
   0.07761    -45.954372    -42.008097
   0.09313    -45.954366    -42.008090
   0.10865    -45.954362    -42.008082
   0.12417    -45.954363    -42.008084
   0.13969    -45.954356    -42.008071
   0.15522    -45.954343    -42.008050
   0.17074    -45.954350    -42.008059
   0.18626    -45.954354    -42.008064
   0.20178    -45.954356    -42.008067
   0.21730    -45.954352    -42.008064
   0.23282    -45.954360    -42.008077
   0.24835    -45.954357    -42.008075
   0.26387    -45.954359    -42.008079
   0.27939    -45.954355    -42.008076
   0.29491    -45.954352    -42.008068
   0.31043    -45.954353    -42.008061
   0.32595    -45.954355    -42.008064
   0.34147    -45.954343    -42.008056
   0.35700    -45.954346    -42.008059
   0.37252    -45.954352    -42.008065
   0.38804    -45.954363    -42.008081
   0.40356    -45.954356    -42.008081
   0.41908    -45.954351    -42.008078
   0.43460    -45.954360    -42.008084
   0.45013    -45.954354    -42.008077
   0.46565    -45.954346    -42.008063
   0.48117    -45.954343    -42.008062
   0.49669    -45.954341    -42.008055
   0.51221    -45.954343    -42.008062
   0.51221    -45.954343    -42.008062
   0.52758    -45.954346    -42.008060
   0.54296    -45.954346    -42.008061
   0.55833    -45.954345    -42.008064
   0.57370    -45.954346    -42.008069
   0.58907    -45.954350    -42.008072
   0.60444    -45.954347    -42.008064
   0.61982    -45.954343    -42.008058
   0.63519    -45.954342    -42.008053
   0.65056    -45.954352    -42.008068
   0.66593    -45.954365    -42.008080
   0.68131    -45.954367    -42.008083
   0.69668    -45.954358    -42.008067
   0.71205    -45.954365    -42.008075
   0.72742    -45.954364    -42.008071
   0.74279    -45.954366    -42.008077
   0.75817    -45.954366    -42.008077
   0.77354    -45.954366    -42.008078
   0.78891    -45.954360    -42.008072
   0.80428    -45.954360    -42.008081
   0.81965    -45.954355    -42.008071
   0.83503    -45.954363    -42.008085
   0.85040    -45.954364    -42.008085
   0.86577    -45.954360    -42.008079
   0.88114    -45.954363    -42.008085
   0.89651    -45.954364    -42.008085
   0.91189    -45.954363    -42.008089
   0.92726    -45.954365    -42.008091
   0.94263    -45.954362    -42.008087
   0.95800    -45.954362    -42.008087
   0.97338    -45.954365    -42.008085
   0.98875    -45.954358    -42.008072
   1.00412    -45.954359    -42.008074
   1.01949    -45.954353    -42.008062
   1.03486    -45.954344    -42.008047
   1.05024    -45.954345    -42.008054
   1.06561    -45.954355    -42.008066
   1.08098    -45.954351    -42.008067
   1.09635    -45.954347    -42.008060
   1.11172    -45.954355    -42.008070
   1.12710    -45.954354    -42.008071
   1.14247    -45.954359    -42.008078
   1.15784    -45.954358    -42.008079
   1.17321    -45.954355    -42.008073
   1.18858    -45.954360    -42.008077
   1.20396    -45.954367    -42.008080
   1.21933    -45.954361    -42.008073
   1.23470    -45.954361    -42.008069
   1.23470    -45.954361    -42.008069
   1.25192    -45.954368    -42.008082
   1.26913    -45.954376    -42.008093
   1.28634    -45.954382    -42.008106
   1.30356    -45.954378    -42.008102
   1.32077    -45.954374    -42.008098
   1.33799    -45.954377    -42.008101
   1.35520    -45.954376    -42.008100
   1.37242    -45.954379    -42.008107
   1.38963    -45.954379    -42.008109
   1.40685    -45.954372    -42.008097
   1.42406    -45.954368    -42.008092
   1.42406    -45.954368    -42.008092
   1.43955    -45.954384    -42.008115
   1.45503    -45.954384    -42.008113
   1.47051    -45.954369    -42.008096
   1.48600    -45.954349    -42.008078
   1.50148    -45.954349    -42.008071
   1.51697    -45.954344    -42.008067
   1.53245    -45.954334    -42.008052
   1.54794    -45.954336    -42.008047
   1.56342    -45.954332    -42.008041
   1.57891    -45.954341    -42.008053
   1.59439    -45.954369    -42.008088
   1.60988    -45.954369    -42.008082
   1.62536    -45.954373    -42.008094
   1.64085    -45.954380    -42.008104
   1.65633    -45.954373    -42.008107
   1.67182    -45.954380    -42.008118
   1.68730    -45.954362    -42.008086
   1.70279    -45.954360    -42.008078
   1.71827    -45.954354    -42.008071
   1.73376    -45.954369    -42.008086
   1.74924    -45.954369    -42.008084
   1.76473    -45.954387    -42.008112
   1.78021    -45.954365    -42.008094
   1.79570    -45.954358    -42.008083
   1.81118    -45.954365    -42.008080
   1.82666    -45.954362    -42.008072
   1.84215    -45.954351    -42.008063
   1.85763    -45.954350    -42.008058
   1.87312    -45.954354    -42.008066
   1.88860    -45.954341    -42.008045
   1.90409    -45.954340    -42.008037
   1.91957    -45.954336    -42.008035
   1.93506    -45.954354    -42.008054
   1.95054    -45.954347    -42.008053
   1.96603    -45.954348    -42.008061
