#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 251 128
# Band-Index    1
   0.00000    -20.599320    -20.599320
   0.01550    -20.599311    -20.599311
   0.03100    -20.599282    -20.599282
   0.04651    -20.599235    -20.599235
   0.06201    -20.599170    -20.599170
   0.07751    -20.599086    -20.599086
   0.09301    -20.598985    -20.598985
   0.10852    -20.598868    -20.598868
   0.12402    -20.598734    -20.598734
   0.13952    -20.598585    -20.598585
   0.15502    -20.598423    -20.598424
   0.17052    -20.598251    -20.598251
   0.18603    -20.598066    -20.598066
   0.20153    -20.597871    -20.597871
   0.21703    -20.597669    -20.597669
   0.23253    -20.597459    -20.597459
   0.24803    -20.597245    -20.597245
   0.26354    -20.597028    -20.597028
   0.27904    -20.596809    -20.596809
   0.29454    -20.596590    -20.596590
   0.31004    -20.596373    -20.596373
   0.32555    -20.596158    -20.596158
   0.34105    -20.595949    -20.595949
   0.35655    -20.595746    -20.595746
   0.37205    -20.595551    -20.595551
   0.38755    -20.595366    -20.595366
   0.40306    -20.595191    -20.595191
   0.41856    -20.595029    -20.595029
   0.43406    -20.594881    -20.594881
   0.44956    -20.594747    -20.594747
   0.46507    -20.594629    -20.594629
   0.48057    -20.594529    -20.594529
   0.49607    -20.594445    -20.594445
   0.51157    -20.594378    -20.594378
   0.52707    -20.594331    -20.594331
   0.54258    -20.594302    -20.594302
   0.55808    -20.594292    -20.594292
   0.55808    -20.594292    -20.594292
   0.57432    -20.594276    -20.594276
   0.59057    -20.594228    -20.594228
   0.60681    -20.594147    -20.594148
   0.62306    -20.594036    -20.594036
   0.63930    -20.593893    -20.593893
   0.65554    -20.593721    -20.593721
   0.67179    -20.593521    -20.593521
   0.68803    -20.593293    -20.593293
   0.70428    -20.593040    -20.593040
   0.72052    -20.592762    -20.592762
   0.73677    -20.592463    -20.592463
   0.75301    -20.592144    -20.592144
   0.76925    -20.591808    -20.591808
   0.78550    -20.591457    -20.591457
   0.80174    -20.591092    -20.591092
   0.81799    -20.590716    -20.590716
   0.83423    -20.590332    -20.590332
   0.85048    -20.589943    -20.589943
   0.86672    -20.589551    -20.589551
   0.86672    -20.589551    -20.589551
   0.88272    -20.589548    -20.589548
   0.89873    -20.589537    -20.589537
   0.91473    -20.589519    -20.589520
   0.93073    -20.589495    -20.589495
   0.94674    -20.589463    -20.589463
   0.96274    -20.589425    -20.589425
   0.97874    -20.589379    -20.589379
   0.99475    -20.589327    -20.589327
   1.01075    -20.589267    -20.589267
   1.02676    -20.589200    -20.589200
   1.04276    -20.589127    -20.589127
   1.05876    -20.589046    -20.589047
   1.07477    -20.588960    -20.588960
   1.09077    -20.588866    -20.588866
   1.10677    -20.588766    -20.588766
   1.12278    -20.588659    -20.588659
   1.13878    -20.588546    -20.588546
   1.15478    -20.588427    -20.588427
   1.17079    -20.588302    -20.588302
   1.18679    -20.588172    -20.588172
   1.20279    -20.588036    -20.588036
   1.21880    -20.587896    -20.587896
   1.23480    -20.587751    -20.587751
   1.25080    -20.587603    -20.587603
   1.26681    -20.587451    -20.587451
   1.28281    -20.587311    -20.587311
   1.28281    -20.587311    -20.587311
   1.29851    -20.587804    -20.587804
   1.31421    -20.588317    -20.588317
   1.32991    -20.588834    -20.588834
   1.34561    -20.589354    -20.589354
   1.36131    -20.589874    -20.589874
   1.37701    -20.590395    -20.590395
   1.39271    -20.590914    -20.590914
   1.40841    -20.591431    -20.591431
   1.42411    -20.591943    -20.591943
   1.43981    -20.592451    -20.592451
   1.45551    -20.592950    -20.592950
   1.47121    -20.593441    -20.593441
   1.48691    -20.593921    -20.593921
   1.50261    -20.594390    -20.594390
   1.51831    -20.594845    -20.594845
   1.53401    -20.595286    -20.595286
   1.54971    -20.595710    -20.595710
   1.56541    -20.596117    -20.596117
   1.58111    -20.596505    -20.596505
   1.59682    -20.596873    -20.596873
   1.61252    -20.597218    -20.597218
   1.62822    -20.597541    -20.597541
   1.64392    -20.597841    -20.597841
   1.65962    -20.598115    -20.598115
   1.67532    -20.598363    -20.598363
   1.69102    -20.598584    -20.598584
   1.70672    -20.598777    -20.598777
   1.72242    -20.598942    -20.598942
   1.73812    -20.599077    -20.599077
   1.75382    -20.599183    -20.599183
   1.76952    -20.599259    -20.599259
   1.78522    -20.599305    -20.599305
   1.80092    -20.599320    -20.599320
   1.80092    -20.599320    -20.599320
   1.81635    -20.599303    -20.599303
   1.83178    -20.599253    -20.599253
   1.84721    -20.599169    -20.599169
   1.86265    -20.599052    -20.599052
   1.87808    -20.598903    -20.598903
   1.89351    -20.598723    -20.598723
   1.90894    -20.598512    -20.598512
   1.92438    -20.598272    -20.598272
   1.93981    -20.598005    -20.598005
   1.95524    -20.597713    -20.597713
   1.97067    -20.597396    -20.597396
   1.98610    -20.597057    -20.597058
   2.00154    -20.596699    -20.596699
   2.01697    -20.596323    -20.596323
   2.03240    -20.595931    -20.595931
   2.04783    -20.595526    -20.595526
   2.06326    -20.595111    -20.595111
   2.07870    -20.594687    -20.594687
   2.09413    -20.594258    -20.594258
   2.10956    -20.593826    -20.593826
   2.12499    -20.593393    -20.593393
   2.14043    -20.592964    -20.592964
   2.15586    -20.592540    -20.592540
   2.17129    -20.592124    -20.592124
   2.18672    -20.591718    -20.591718
   2.20215    -20.591325    -20.591325
   2.21759    -20.590947    -20.590947
   2.23302    -20.590587    -20.590587
   2.24845    -20.590246    -20.590246
