#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 172 128
# Band-Index    1
   0.00000    -47.353072    -47.237307
   0.01541    -47.353061    -47.237296
   0.03083    -47.353060    -47.237295
   0.04624    -47.353072    -47.237306
   0.06165    -47.353080    -47.237314
   0.07707    -47.353097    -47.237332
   0.09248    -47.353106    -47.237341
   0.10789    -47.353099    -47.237335
   0.12331    -47.353103    -47.237339
   0.13872    -47.353106    -47.237342
   0.15413    -47.353121    -47.237357
   0.16955    -47.353115    -47.237350
   0.18496    -47.353107    -47.237342
   0.20037    -47.353114    -47.237349
   0.21579    -47.353126    -47.237360
   0.23120    -47.353110    -47.237345
   0.24661    -47.353101    -47.237336
   0.26203    -47.353102    -47.237337
   0.27744    -47.353105    -47.237341
   0.29285    -47.353105    -47.237339
   0.30827    -47.353091    -47.237326
   0.32368    -47.353096    -47.237331
   0.33909    -47.353108    -47.237342
   0.35451    -47.353101    -47.237336
   0.36992    -47.353112    -47.237347
   0.38534    -47.353109    -47.237344
   0.40075    -47.353115    -47.237350
   0.41616    -47.353092    -47.237327
   0.43158    -47.353086    -47.237321
   0.44699    -47.353087    -47.237322
   0.46240    -47.353076    -47.237310
   0.47782    -47.353065    -47.237299
   0.49323    -47.353055    -47.237289
   0.50864    -47.353047    -47.237281
   0.52406    -47.353062    -47.237296
   0.53947    -47.353066    -47.237301
   0.55488    -47.353052    -47.237287
   0.57030    -47.353032    -47.237266
   0.58571    -47.353023    -47.237257
   0.58571    -47.353023    -47.237257
   0.60297    -47.353053    -47.237287
   0.62024    -47.353086    -47.237320
   0.63750    -47.353076    -47.237311
   0.65476    -47.353068    -47.237303
   0.67203    -47.353064    -47.237299
   0.68929    -47.353062    -47.237298
   0.70655    -47.353056    -47.237291
   0.72382    -47.353037    -47.237272
   0.74108    -47.353054    -47.237289
   0.75834    -47.353056    -47.237291
   0.77561    -47.353062    -47.237296
   0.79287    -47.353061    -47.237296
   0.79287    -47.353054    -47.237289
   0.80841    -47.353042    -47.237276
   0.82394    -47.353049    -47.237283
   0.83948    -47.353022    -47.237256
   0.85501    -47.353000    -47.237234
   0.87055    -47.353002    -47.237236
   0.88608    -47.353017    -47.237251
   0.90162    -47.353048    -47.237282
   0.91715    -47.353044    -47.237279
   0.93269    -47.353066    -47.237300
   0.94822    -47.353074    -47.237308
   0.96376    -47.353060    -47.237294
   0.97929    -47.353063    -47.237297
   0.99483    -47.353068    -47.237302
   1.01037    -47.353087    -47.237321
   1.02590    -47.353096    -47.237330
   1.04144    -47.353093    -47.237327
   1.05697    -47.353099    -47.237333
   1.07251    -47.353115    -47.237350
   1.08804    -47.353111    -47.237345
   1.10358    -47.353091    -47.237326
   1.11911    -47.353086    -47.237320
   1.13465    -47.353087    -47.237322
   1.15018    -47.353088    -47.237323
   1.16572    -47.353080    -47.237314
   1.18125    -47.353090    -47.237325
   1.19679    -47.353105    -47.237340
   1.21232    -47.353092    -47.237327
   1.22786    -47.353089    -47.237324
   1.24340    -47.353100    -47.237335
   1.25893    -47.353091    -47.237326
   1.27447    -47.353086    -47.237321
   1.29000    -47.353095    -47.237330
   1.30554    -47.353112    -47.237347
   1.32107    -47.353118    -47.237353
   1.33661    -47.353109    -47.237344
   1.35214    -47.353090    -47.237325
   1.36768    -47.353057    -47.237291
   1.38321    -47.353055    -47.237290
   1.39875    -47.353060    -47.237294
   1.41428    -47.353072    -47.237307
   1.41428    -47.353072    -47.237307
   1.43015    -47.353057    -47.237291
   1.44601    -47.353057    -47.237291
   1.46187    -47.353065    -47.237300
   1.47774    -47.353093    -47.237327
   1.49360    -47.353142    -47.237377
   1.50946    -47.353144    -47.237379
   1.52532    -47.353131    -47.237366
   1.54119    -47.353114    -47.237349
   1.55705    -47.353103    -47.237338
   1.57291    -47.353077    -47.237312
   1.58877    -47.353077    -47.237312
   1.60464    -47.353092    -47.237327
   1.62050    -47.353120    -47.237355
   1.63636    -47.353106    -47.237340
   1.65222    -47.353086    -47.237320
   1.66809    -47.353093    -47.237328
   1.68395    -47.353073    -47.237308
   1.69981    -47.353080    -47.237314
   1.71568    -47.353069    -47.237303
   1.73154    -47.353087    -47.237322
   1.74740    -47.353093    -47.237328
   1.76326    -47.353085    -47.237319
   1.77913    -47.353081    -47.237315
   1.79499    -47.353079    -47.237314
   1.81085    -47.353057    -47.237292
   1.82671    -47.353061    -47.237296
   1.84258    -47.353067    -47.237301
   1.85844    -47.353063    -47.237297
   1.87430    -47.353049    -47.237283
   1.89016    -47.353058    -47.237291
