#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 180  80
# Band-Index    1
   0.00000    -54.016848    -47.502166
   0.01560    -54.016848    -47.502166
   0.03120    -54.016858    -47.502178
   0.04680    -54.016861    -47.502181
   0.06241    -54.016875    -47.502200
   0.07801    -54.016890    -47.502222
   0.09361    -54.016897    -47.502231
   0.10921    -54.016904    -47.502241
   0.12481    -54.016887    -47.502220
   0.14041    -54.016888    -47.502217
   0.15601    -54.016882    -47.502207
   0.17161    -54.016875    -47.502193
   0.18722    -54.016863    -47.502174
   0.20282    -54.016870    -47.502184
   0.21842    -54.016868    -47.502179
   0.23402    -54.016875    -47.502190
   0.24962    -54.016876    -47.502192
   0.26522    -54.016869    -47.502187
   0.28082    -54.016863    -47.502177
   0.29642    -54.016857    -47.502170
   0.31203    -54.016858    -47.502170
   0.32763    -54.016871    -47.502186
   0.34323    -54.016852    -47.502158
   0.35883    -54.016852    -47.502159
   0.37443    -54.016857    -47.502166
   0.39003    -54.016843    -47.502142
   0.40563    -54.016836    -47.502134
   0.42123    -54.016841    -47.502140
   0.43684    -54.016837    -47.502135
   0.45244    -54.016823    -47.502117
   0.46804    -54.016818    -47.502108
   0.48364    -54.016817    -47.502108
   0.49924    -54.016827    -47.502122
   0.51484    -54.016835    -47.502134
   0.53044    -54.016837    -47.502136
   0.54605    -54.016843    -47.502149
   0.56165    -54.016846    -47.502154
   0.57725    -54.016838    -47.502144
   0.59285    -54.016831    -47.502136
   0.60845    -54.016830    -47.502136
   0.60845    -54.016830    -47.502136
   0.62499    -54.016839    -47.502143
   0.64153    -54.016840    -47.502145
   0.65807    -54.016839    -47.502142
   0.67461    -54.016822    -47.502120
   0.69115    -54.016823    -47.502123
   0.70770    -54.016823    -47.502124
   0.72424    -54.016819    -47.502121
   0.74078    -54.016822    -47.502125
   0.75732    -54.016822    -47.502124
   0.77386    -54.016824    -47.502128
   0.79040    -54.016824    -47.502127
   0.80694    -54.016816    -47.502119
   0.82348    -54.016815    -47.502118
   0.82348    -54.016833    -47.502145
   0.83884    -54.016836    -47.502148
   0.85421    -54.016831    -47.502139
   0.86957    -54.016828    -47.502134
   0.88493    -54.016839    -47.502149
   0.90029    -54.016844    -47.502157
   0.91566    -54.016830    -47.502141
   0.93102    -54.016832    -47.502144
   0.94638    -54.016836    -47.502149
   0.96174    -54.016833    -47.502143
   0.97710    -54.016836    -47.502148
   0.99247    -54.016840    -47.502155
   1.00783    -54.016845    -47.502162
   1.02319    -54.016822    -47.502133
   1.03855    -54.016833    -47.502147
   1.05392    -54.016836    -47.502153
   1.06928    -54.016838    -47.502155
   1.08464    -54.016834    -47.502148
   1.10000    -54.016836    -47.502148
   1.11537    -54.016829    -47.502136
   1.13073    -54.016816    -47.502117
   1.14609    -54.016813    -47.502114
   1.16145    -54.016816    -47.502117
   1.17682    -54.016816    -47.502116
   1.19218    -54.016837    -47.502146
   1.20754    -54.016834    -47.502141
   1.22290    -54.016837    -47.502148
   1.23827    -54.016833    -47.502144
   1.25363    -54.016834    -47.502145
   1.26899    -54.016833    -47.502142
   1.28435    -54.016864    -47.502185
   1.29972    -54.016870    -47.502192
   1.31508    -54.016866    -47.502183
   1.33044    -54.016891    -47.502213
   1.34580    -54.016916    -47.502249
   1.36117    -54.016912    -47.502245
   1.37653    -54.016919    -47.502255
   1.39189    -54.016914    -47.502249
   1.40725    -54.016901    -47.502231
   1.42261    -54.016873    -47.502193
   1.43798    -54.016860    -47.502179
   1.45334    -54.016848    -47.502166
   1.46870    -54.016848    -47.502166
   1.46870    -54.016848    -47.502166
   1.48419    -54.016848    -47.502166
   1.49968    -54.016859    -47.502180
   1.51517    -54.016870    -47.502191
   1.53066    -54.016874    -47.502194
   1.54615    -54.016886    -47.502207
   1.56164    -54.016892    -47.502215
   1.57713    -54.016906    -47.502234
   1.59262    -54.016907    -47.502236
   1.60811    -54.016902    -47.502228
   1.62360    -54.016908    -47.502236
   1.63908    -54.016901    -47.502231
   1.65457    -54.016898    -47.502229
   1.67006    -54.016893    -47.502225
   1.68555    -54.016885    -47.502213
   1.70104    -54.016874    -47.502199
   1.71653    -54.016898    -47.502232
   1.73202    -54.016879    -47.502211
   1.74751    -54.016876    -47.502209
   1.76300    -54.016872    -47.502204
   1.77849    -54.016856    -47.502180
   1.79398    -54.016858    -47.502184
   1.80947    -54.016853    -47.502178
   1.82496    -54.016854    -47.502178
   1.84045    -54.016858    -47.502182
   1.85594    -54.016861    -47.502186
   1.87143    -54.016850    -47.502171
   1.88691    -54.016849    -47.502170
   1.90240    -54.016846    -47.502166
   1.91789    -54.016835    -47.502155
   1.93338    -54.016847    -47.502171
   1.94887    -54.016851    -47.502177
   1.96436    -54.016855    -47.502182
   1.97985    -54.016861    -47.502189
   1.99534    -54.016861    -47.502189
   1.99534    -54.016861    -47.502189
   2.01128    -54.016850    -47.502174
   2.02722    -54.016853    -47.502180
   2.04316    -54.016851    -47.502176
   2.05911    -54.016832    -47.502151
   2.07505    -54.016834    -47.502153
   2.09099    -54.016830    -47.502146
   2.10693    -54.016838    -47.502159
   2.12287    -54.016831    -47.502149
   2.13881    -54.016846    -47.502169
   2.15475    -54.016847    -47.502168
   2.17070    -54.016850    -47.502169
   2.18664    -54.016841    -47.502155
   2.20258    -54.016845    -47.502161
   2.21852    -54.016836    -47.502148
   2.23446    -54.016829    -47.502139
   2.25040    -54.016838    -47.502151
   2.26634    -54.016843    -47.502158
   2.28229    -54.016856    -47.502176
