#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 255  80
# Band-Index    1
   0.00000    -67.179500    -64.096927
   0.01524    -67.179494    -64.096921
   0.03049    -67.179495    -64.096921
   0.04573    -67.179500    -64.096926
   0.06098    -67.179508    -64.096935
   0.07622    -67.179515    -64.096944
   0.09146    -67.179522    -64.096952
   0.10671    -67.179520    -64.096948
   0.12195    -67.179514    -64.096937
   0.13719    -67.179519    -64.096941
   0.15244    -67.179520    -64.096941
   0.16768    -67.179528    -64.096951
   0.18293    -67.179534    -64.096958
   0.19817    -67.179539    -64.096962
   0.21341    -67.179547    -64.096970
   0.22866    -67.179565    -64.096988
   0.24390    -67.179553    -64.096974
   0.25914    -67.179559    -64.096979
   0.27439    -67.179556    -64.096976
   0.28963    -67.179556    -64.096976
   0.30488    -67.179564    -64.096985
   0.32012    -67.179575    -64.096996
   0.33536    -67.179582    -64.097002
   0.35061    -67.179570    -64.096989
   0.36585    -67.179565    -64.096983
   0.38109    -67.179557    -64.096977
   0.39634    -67.179570    -64.096988
   0.41158    -67.179576    -64.096993
   0.42683    -67.179580    -64.096995
   0.44207    -67.179586    -64.097001
   0.45731    -67.179587    -64.097001
   0.47256    -67.179590    -64.097005
   0.48780    -67.179589    -64.097005
   0.50304    -67.179583    -64.096999
   0.51829    -67.179582    -64.096999
   0.53353    -67.179581    -64.096998
   0.54878    -67.179585    -64.097003
   0.56402    -67.179583    -64.097002
   0.57926    -67.179587    -64.097007
   0.59451    -67.179584    -64.097002
   0.60975    -67.179586    -64.097006
   0.62499    -67.179588    -64.097009
   0.64024    -67.179596    -64.097019
   0.65548    -67.179608    -64.097033
   0.67073    -67.179607    -64.097028
   0.68597    -67.179589    -64.097011
   0.70121    -67.179585    -64.097005
   0.71646    -67.179589    -64.097010
   0.73170    -67.179585    -64.097007
   0.74694    -67.179595    -64.097015
   0.76219    -67.179597    -64.097014
   0.77743    -67.179604    -64.097022
   0.79268    -67.179623    -64.097036
   0.80792    -67.179623    -64.097039
   0.82316    -67.179626    -64.097041
   0.83841    -67.179628    -64.097041
   0.85365    -67.179624    -64.097034
   0.86889    -67.179626    -64.097038
   0.88414    -67.179633    -64.097043
   0.89938    -67.179633    -64.097043
   0.91463    -67.179632    -64.097042
   0.92987    -67.179623    -64.097033
   0.94511    -67.179622    -64.097030
   0.96036    -67.179618    -64.097028
   0.97560    -67.179625    -64.097035
   0.99084    -67.179622    -64.097032
   1.00609    -67.179615    -64.097025
   1.02133    -67.179606    -64.097016
   1.03658    -67.179613    -64.097025
   1.05182    -67.179612    -64.097026
   1.06706    -67.179614    -64.097028
   1.08231    -67.179622    -64.097037
   1.09755    -67.179624    -64.097040
   1.11279    -67.179631    -64.097045
   1.12804    -67.179633    -64.097046
   1.14328    -67.179630    -64.097044
   1.15853    -67.179628    -64.097039
   1.17377    -67.179618    -64.097026
   1.18901    -67.179601    -64.097006
   1.20426    -67.179593    -64.096999
   1.21950    -67.179598    -64.097004
   1.23474    -67.179592    -64.096999
   1.24999    -67.179579    -64.096988
   1.26523    -67.179572    -64.096977
   1.28048    -67.179567    -64.096972
   1.29572    -67.179578    -64.096983
   1.29572    -67.179578    -64.096983
   1.31181    -67.179577    -64.096986
   1.32791    -67.179593    -64.097003
   1.34400    -67.179607    -64.097016
   1.36009    -67.179608    -64.097015
   1.37619    -67.179615    -64.097022
   1.39228    -67.179624    -64.097030
   1.40838    -67.179626    -64.097028
   1.42447    -67.179629    -64.097034
   1.44056    -67.179617    -64.097024
   1.45666    -67.179609    -64.097015
   1.47275    -67.179595    -64.096998
   1.48884    -67.179601    -64.097006
   1.50494    -67.179597    -64.097004
   1.52103    -67.179594    -64.097002
   1.53712    -67.179601    -64.097009
   1.55322    -67.179592    -64.096998
   1.56931    -67.179595    -64.097003
   1.58541    -67.179594    -64.097002
   1.58541    -67.179598    -64.097014
   1.60219    -67.179598    -64.097015
   1.61897    -67.179598    -64.097013
   1.63576    -67.179602    -64.097018
   1.65254    -67.179589    -64.097002
   1.66933    -67.179589    -64.097005
   1.68611    -67.179594    -64.097010
   1.70289    -67.179585    -64.097000
   1.71968    -67.179581    -64.096996
   1.73646    -67.179583    -64.097000
   1.75325    -67.179586    -64.097003
   1.77003    -67.179587    -64.097003
   1.78681    -67.179585    -64.097001
   1.80360    -67.179587    -64.097004
   1.82038    -67.179585    -64.097001
   1.83717    -67.179592    -64.097012
   1.83717    -67.179592    -64.097012
   1.85285    -67.179591    -64.097009
   1.86854    -67.179596    -64.097012
   1.88422    -67.179595    -64.097012
   1.89991    -67.179601    -64.097018
   1.91560    -67.179596    -64.097013
   1.93128    -67.179586    -64.097006
   1.94697    -67.179579    -64.096996
   1.96265    -67.179564    -64.096981
   1.97834    -67.179559    -64.096978
   1.99402    -67.179563    -64.096985
   2.00971    -67.179554    -64.096978
   2.02540    -67.179556    -64.096977
   2.04108    -67.179554    -64.096973
   2.05677    -67.179549    -64.096966
   2.07245    -67.179547    -64.096962
   2.08814    -67.179559    -64.096974
   2.10383    -67.179557    -64.096975
   2.11951    -67.179538    -64.096954
   2.13520    -67.179533    -64.096951
   2.15088    -67.179522    -64.096940
   2.16657    -67.179513    -64.096932
   2.18225    -67.179515    -64.096934
   2.19794    -67.179518    -64.096939
   2.21363    -67.179509    -64.096935
   2.22931    -67.179523    -64.096952
   2.24500    -67.179524    -64.096955
   2.26068    -67.179529    -64.096960
   2.27637    -67.179513    -64.096944
   2.29206    -67.179507    -64.096938
   2.30774    -67.179498    -64.096923
   2.32343    -67.179494    -64.096921
   2.33911    -67.179500    -64.096927
   2.33911    -67.179500    -64.096927
   2.35468    -67.179484    -64.096911
   2.37024    -67.179489    -64.096915
   2.38581    -67.179524    -64.096950
   2.40137    -67.179533    -64.096961
   2.41694    -67.179543    -64.096967
   2.43250    -67.179525    -64.096944
   2.44807    -67.179530    -64.096955
   2.46363    -67.179516    -64.096941
   2.47920    -67.179532    -64.096958
   2.49476    -67.179548    -64.096973
   2.51033    -67.179566    -64.096993
   2.52589    -67.179575    -64.097003
   2.54146    -67.179578    -64.097002
   2.55702    -67.179592    -64.097011
   2.57259    -67.179602    -64.097023
   2.58815    -67.179611    -64.097030
   2.60372    -67.179605    -64.097027
   2.61928    -67.179601    -64.097023
   2.63485    -67.179604    -64.097026
   2.65041    -67.179598    -64.097019
   2.66597    -67.179600    -64.097019
   2.68154    -67.179598    -64.097018
   2.69710    -67.179600    -64.097021
   2.71267    -67.179604    -64.097022
   2.72823    -67.179594    -64.097015
   2.74380    -67.179601    -64.097025
   2.75936    -67.179608    -64.097035
   2.77493    -67.179618    -64.097043
   2.77493    -67.179584    -64.096990
   2.79288    -67.179605    -64.097013
   2.81083    -67.179580    -64.096989
   2.82879    -67.179588    -64.096997
   2.84674    -67.179613    -64.097018
   2.86469    -67.179652    -64.097056
   2.88264    -67.179670    -64.097070
   2.90059    -67.179652    -64.097053
   2.90059    -67.179652    -64.097053
   2.91584    -67.179653    -64.097054
   2.93109    -67.179660    -64.097059
   2.94634    -67.179661    -64.097063
   2.96159    -67.179656    -64.097059
   2.97684    -67.179650    -64.097055
   2.99209    -67.179652    -64.097060
   3.00734    -67.179633    -64.097042
   3.02259    -67.179633    -64.097044
   3.03784    -67.179630    -64.097042
   3.05309    -67.179626    -64.097038
   3.06834    -67.179615    -64.097025
   3.08359    -67.179612    -64.097019
   3.09884    -67.179606    -64.097011
   3.11409    -67.179615    -64.097029
   3.12934    -67.179624    -64.097038
   3.14459    -67.179623    -64.097036
