#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 180 128
# Band-Index    1
   0.00000    -20.013021    -20.013021
   0.01569    -20.013000    -20.013000
   0.03139    -20.012936    -20.012936
   0.04708    -20.012828    -20.012829
   0.06278    -20.012679    -20.012679
   0.07847    -20.012489    -20.012489
   0.09417    -20.012258    -20.012258
   0.10986    -20.011988    -20.011988
   0.12556    -20.011682    -20.011682
   0.14125    -20.011342    -20.011342
   0.15695    -20.010969    -20.010970
   0.17264    -20.010566    -20.010566
   0.18834    -20.010136    -20.010136
   0.20403    -20.009681    -20.009682
   0.21973    -20.009204    -20.009204
   0.23542    -20.008707    -20.008708
   0.25112    -20.008196    -20.008196
   0.26681    -20.007671    -20.007671
   0.28250    -20.007137    -20.007137
   0.29820    -20.006600    -20.006601
   0.31389    -20.006060    -20.006060
   0.32959    -20.005520    -20.005520
   0.34528    -20.004986    -20.004986
   0.36098    -20.004460    -20.004460
   0.37667    -20.003947    -20.003947
   0.39237    -20.003449    -20.003449
   0.40806    -20.002970    -20.002970
   0.42376    -20.002511    -20.002511
   0.43945    -20.002077    -20.002077
   0.45515    -20.001670    -20.001670
   0.47084    -20.001293    -20.001293
   0.48654    -20.000951    -20.000951
   0.50223    -20.000642    -20.000642
   0.51793    -20.000371    -20.000371
   0.53362    -20.000138    -20.000138
   0.54932    -19.999945    -19.999945
   0.56501    -19.999794    -19.999794
   0.58070    -19.999685    -19.999685
   0.59640    -19.999618    -19.999618
   0.61209    -19.999595    -19.999595
   0.61209    -19.999595    -19.999595
   0.62874    -19.999580    -19.999580
   0.64539    -19.999527    -19.999528
   0.66203    -19.999441    -19.999441
   0.67868    -19.999320    -19.999320
   0.69533    -19.999165    -19.999165
   0.71197    -19.998979    -19.998979
   0.72862    -19.998759    -19.998760
   0.74527    -19.998509    -19.998509
   0.76192    -19.998229    -19.998229
   0.77856    -19.997923    -19.997923
   0.79521    -19.997589    -19.997589
   0.81186    -19.997230    -19.997230
   0.82850    -19.996849    -19.996849
   0.82850    -19.996849    -19.996849
   0.84396    -19.996476    -19.996476
   0.85942    -19.996086    -19.996086
   0.87488    -19.995681    -19.995681
   0.89033    -19.995264    -19.995264
   0.90579    -19.995212    -19.995212
   0.92125    -19.995745    -19.995745
   0.93671    -19.996296    -19.996296
   0.95216    -19.996866    -19.996866
   0.96762    -19.997452    -19.997452
   0.98308    -19.998053    -19.998053
   0.99854    -19.998668    -19.998669
   1.01399    -19.999294    -19.999294
   1.02945    -19.999930    -19.999930
   1.04491    -20.000576    -20.000576
   1.06037    -20.001223    -20.001224
   1.07583    -20.001877    -20.001877
   1.09128    -20.002532    -20.002532
   1.10674    -20.003187    -20.003187
   1.12220    -20.003839    -20.003840
   1.13766    -20.004486    -20.004486
   1.15311    -20.005123    -20.005124
   1.16857    -20.005752    -20.005753
   1.18403    -20.006370    -20.006370
   1.19949    -20.006972    -20.006972
   1.21494    -20.007557    -20.007557
   1.23040    -20.008123    -20.008123
