#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 180 128
# Band-Index    1
   0.00000    -19.768676    -19.768676
   0.01577    -19.768652    -19.768652
   0.03153    -19.768583    -19.768583
   0.04730    -19.768467    -19.768467
   0.06307    -19.768305    -19.768305
   0.07883    -19.768098    -19.768098
   0.09460    -19.767848    -19.767848
   0.11037    -19.767557    -19.767557
   0.12613    -19.767226    -19.767226
   0.14190    -19.766857    -19.766857
   0.15767    -19.766453    -19.766453
   0.17343    -19.766017    -19.766017
   0.18920    -19.765550    -19.765550
   0.20497    -19.765058    -19.765058
   0.22073    -19.764541    -19.764541
   0.23650    -19.764003    -19.764004
   0.25227    -19.763449    -19.763449
   0.26803    -19.762881    -19.762881
   0.28380    -19.762304    -19.762304
   0.29956    -19.761720    -19.761720
   0.31533    -19.761135    -19.761135
   0.33110    -19.760551    -19.760552
   0.34686    -19.759974    -19.759974
   0.36263    -19.759405    -19.759405
   0.37840    -19.758849    -19.758849
   0.39416    -19.758309    -19.758309
   0.40993    -19.757790    -19.757790
   0.42570    -19.757293    -19.757293
   0.44146    -19.756824    -19.756824
   0.45723    -19.756384    -19.756384
   0.47300    -19.755977    -19.755977
   0.48876    -19.755605    -19.755605
   0.50453    -19.755271    -19.755271
   0.52030    -19.754977    -19.754977
   0.53606    -19.754725    -19.754725
   0.55183    -19.754516    -19.754516
   0.56760    -19.754352    -19.754352
   0.58336    -19.754234    -19.754234
   0.59913    -19.754163    -19.754163
   0.61490    -19.754139    -19.754139
   0.61490    -19.754139    -19.754139
   0.63162    -19.754120    -19.754120
   0.64834    -19.754064    -19.754064
   0.66506    -19.753970    -19.753970
   0.68179    -19.753839    -19.753840
   0.69851    -19.753673    -19.753673
   0.71523    -19.753470    -19.753470
   0.73196    -19.753234    -19.753234
   0.74868    -19.752964    -19.752964
   0.76540    -19.752662    -19.752662
   0.78213    -19.752331    -19.752331
   0.79885    -19.751970    -19.751971
   0.81557    -19.751584    -19.751584
   0.83229    -19.751172    -19.751172
   0.83229    -19.751172    -19.751172
   0.84782    -19.750770    -19.750770
   0.86335    -19.750349    -19.750349
   0.87888    -19.749912    -19.749912
   0.89441    -19.749461    -19.749461
   0.90994    -19.749404    -19.749404
   0.92547    -19.749980    -19.749980
   0.94099    -19.750576    -19.750577
   0.95652    -19.751192    -19.751193
   0.97205    -19.751827    -19.751827
   0.98758    -19.752477    -19.752477
   1.00311    -19.753142    -19.753142
   1.01864    -19.753819    -19.753819
   1.03416    -19.754507    -19.754507
   1.04969    -19.755204    -19.755204
   1.06522    -19.755906    -19.755906
   1.08075    -19.756613    -19.756613
   1.09628    -19.757322    -19.757322
   1.11181    -19.758030    -19.758030
   1.12734    -19.758735    -19.758735
   1.14286    -19.759434    -19.759434
   1.15839    -19.760125    -19.760125
   1.17392    -19.760806    -19.760806
   1.18945    -19.761473    -19.761473
   1.20498    -19.762125    -19.762125
   1.22051    -19.762759    -19.762759
   1.23603    -19.763372    -19.763372
   1.25156    -19.763961    -19.763961
   1.26709    -19.764525    -19.764525
   1.28262    -19.765061    -19.765062
   1.29815    -19.765568    -19.765568
   1.31368    -19.766042    -19.766042
   1.32921    -19.766482    -19.766482
   1.34473    -19.766887    -19.766887
   1.36026    -19.767254    -19.767254
   1.37579    -19.767582    -19.767582
   1.39132    -19.767869    -19.767869
   1.40685    -19.768113    -19.768113
   1.42238    -19.768315    -19.768315
   1.43790    -19.768472    -19.768472
   1.45343    -19.768585    -19.768585
   1.46896    -19.768653    -19.768653
   1.48449    -19.768676    -19.768676
   1.48449    -19.768676    -19.768676
   1.50015    -19.768653    -19.768653
   1.51581    -19.768584    -19.768584
   1.53148    -19.768469    -19.768469
   1.54714    -19.768308    -19.768308
   1.56280    -19.768103    -19.768103
   1.57846    -19.767853    -19.767853
   1.59413    -19.767560    -19.767561
   1.60979    -19.767226    -19.767226
   1.62545    -19.766850    -19.766850
   1.64111    -19.766436    -19.766436
   1.65677    -19.765983    -19.765983
   1.67244    -19.765495    -19.765495
   1.68810    -19.764972    -19.764972
   1.70376    -19.764417    -19.764417
   1.71942    -19.763832    -19.763832
   1.73509    -19.763218    -19.763218
   1.75075    -19.762578    -19.762578
   1.76641    -19.761914    -19.761914
   1.78207    -19.761229    -19.761229
   1.79773    -19.760524    -19.760524
   1.81340    -19.759802    -19.759802
   1.82906    -19.759066    -19.759066
   1.84472    -19.758317    -19.758317
   1.86038    -19.757558    -19.757558
   1.87605    -19.756791    -19.756791
   1.89171    -19.756018    -19.756018
   1.90737    -19.755242    -19.755242
   1.92303    -19.754465    -19.754465
   1.93869    -19.753689    -19.753689
   1.95436    -19.752916    -19.752916
   1.97002    -19.752147    -19.752148
   1.98568    -19.751386    -19.751386
   2.00134    -19.750634    -19.750634
   2.01701    -19.749959    -19.749959
   2.01701    -19.749959    -19.749959
   2.03311    -19.749956    -19.749956
   2.04921    -19.749945    -19.749945
   2.06532    -19.749929    -19.749929
   2.08142    -19.749906    -19.749906
   2.09752    -19.749876    -19.749876
   2.11363    -19.749841    -19.749842
   2.12973    -19.749801    -19.749801
   2.14583    -19.749756    -19.749756
   2.16194    -19.749707    -19.749707
   2.17804    -19.749655    -19.749655
   2.19415    -19.749600    -19.749600
   2.21025    -19.749543    -19.749543
   2.22635    -19.749485    -19.749485
   2.24246    -19.749426    -19.749426
   2.25856    -19.749368    -19.749368
   2.27466    -19.749311    -19.749311
   2.29077    -19.749256    -19.749256
   2.30687    -19.749203    -19.749203
   2.32297    -19.749154    -19.749154
   2.33908    -19.749109    -19.749109
   2.35518    -19.749069    -19.749069
   2.37128    -19.749034    -19.749035
   2.38739    -19.749005    -19.749005
   2.40349    -19.748982    -19.748982
   2.41960    -19.748966    -19.748966
   2.43570    -19.748955    -19.748955
   2.45180    -19.748952    -19.748952
   2.45180    -19.748952    -19.748952
   2.46798    -19.749381    -19.749381
   2.48417    -19.749808    -19.749808
   2.50035    -19.750228    -19.750228
   2.51653    -19.750639    -19.750639
   2.53271    -19.751039    -19.751039
   2.54889    -19.751424    -19.751424
   2.56507    -19.751792    -19.751792
   2.58125    -19.752141    -19.752141
   2.59744    -19.752468    -19.752468
   2.61362    -19.752770    -19.752771
   2.62980    -19.753047    -19.753047
   2.64598    -19.753296    -19.753296
   2.66216    -19.753515    -19.753515
   2.67834    -19.753703    -19.753703
   2.69453    -19.753859    -19.753859
   2.71071    -19.753981    -19.753981
   2.72689    -19.754069    -19.754069
   2.74307    -19.754122    -19.754122
   2.75925    -19.754139    -19.754139
 
# Band-Index    2
   2.75925    -19.743743    -19.743743
   2.74307    -19.743761    -19.743761
   2.72689    -19.743814    -19.743814
   2.71071    -19.743902    -19.743902
   2.69453    -19.744026    -19.744026
   2.67834    -19.744183    -19.744183
   2.66216    -19.744372    -19.744373
   2.64598    -19.744593    -19.744593
   2.62980    -19.744844    -19.744844
   2.61362    -19.745122    -19.745122
   2.59744    -19.745427    -19.745427
   2.58125    -19.745755    -19.745755
   2.56507    -19.746106    -19.746106
   2.54889    -19.746476    -19.746476
   2.53271    -19.746862    -19.746862
   2.51653    -19.747263    -19.747263
