#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 176 128
# Band-Index    1
   0.00000    -21.900509    -21.888796
   0.01569    -21.900509    -21.888796
   0.03139    -21.900509    -21.888796
   0.04708    -21.900510    -21.888796
   0.06277    -21.900510    -21.888796
   0.07847    -21.900510    -21.888796
   0.09416    -21.900511    -21.888796
   0.10985    -21.900511    -21.888796
   0.12555    -21.900511    -21.888796
   0.14124    -21.900511    -21.888796
   0.15693    -21.900511    -21.888795
   0.17263    -21.900510    -21.888795
   0.18832    -21.900510    -21.888795
   0.20402    -21.900511    -21.888794
   0.21971    -21.900511    -21.888794
   0.23540    -21.900511    -21.888794
   0.25110    -21.900512    -21.888794
   0.26679    -21.900512    -21.888794
   0.28248    -21.900512    -21.888794
   0.29818    -21.900513    -21.888794
   0.31387    -21.900513    -21.888794
   0.32956    -21.900514    -21.888793
   0.34526    -21.900514    -21.888793
   0.36095    -21.900515    -21.888794
   0.37664    -21.900515    -21.888794
   0.39234    -21.900516    -21.888794
   0.40803    -21.900517    -21.888794
   0.42372    -21.900517    -21.888794
   0.43942    -21.900517    -21.888794
   0.45511    -21.900518    -21.888794
   0.47080    -21.900518    -21.888793
   0.48650    -21.900517    -21.888793
   0.50219    -21.900517    -21.888792
   0.51788    -21.900518    -21.888792
   0.53358    -21.900518    -21.888792
   0.54927    -21.900518    -21.888792
   0.56496    -21.900518    -21.888792
   0.58066    -21.900518    -21.888792
   0.59635    -21.900518    -21.888792
   0.59635    -21.900518    -21.888792
   0.61260    -21.900518    -21.888791
   0.62884    -21.900517    -21.888791
   0.64508    -21.900517    -21.888792
   0.66133    -21.900518    -21.888793
   0.67757    -21.900519    -21.888794
   0.69381    -21.900521    -21.888797
   0.71006    -21.900524    -21.888800
   0.72630    -21.900526    -21.888803
   0.74255    -21.900529    -21.888806
   0.75879    -21.900532    -21.888810
   0.77503    -21.900534    -21.888813
   0.79128    -21.900537    -21.888817
