#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 260 128
# Band-Index    1
   0.00000    -45.383888    -40.902961
   0.01573    -45.383896    -40.902973
   0.03147    -45.383900    -40.902978
   0.04720    -45.383885    -40.902961
   0.06293    -45.383902    -40.902984
   0.07866    -45.383886    -40.902966
   0.09440    -45.383901    -40.902987
   0.11013    -45.383912    -40.903001
   0.12586    -45.383920    -40.903011
   0.14160    -45.383921    -40.903011
   0.15733    -45.383916    -40.903007
   0.17306    -45.383916    -40.903007
   0.18879    -45.383948    -40.903050
   0.20453    -45.383956    -40.903059
   0.22026    -45.383947    -40.903049
   0.23599    -45.383936    -40.903035
   0.25172    -45.383934    -40.903033
   0.26746    -45.383953    -40.903068
   0.28319    -45.383948    -40.903061
   0.29892    -45.383957    -40.903078
   0.31466    -45.383967    -40.903084
   0.33039    -45.383985    -40.903100
   0.34612    -45.383987    -40.903101
   0.36185    -45.384001    -40.903124
   0.37759    -45.384010    -40.903138
   0.39332    -45.384019    -40.903154
   0.40905    -45.384020    -40.903155
   0.42479    -45.384037    -40.903177
   0.44052    -45.384031    -40.903167
   0.45625    -45.384019    -40.903150
   0.47198    -45.384003    -40.903130
   0.48772    -45.384003    -40.903131
   0.50345    -45.384049    -40.903195
   0.51918    -45.384054    -40.903200
   0.53491    -45.384035    -40.903175
   0.55065    -45.384035    -40.903176
   0.56638    -45.384047    -40.903188
   0.58211    -45.384068    -40.903218
   0.59785    -45.384068    -40.903218
   0.59785    -45.384068    -40.903218
   0.61417    -45.384051    -40.903190
   0.63049    -45.384029    -40.903155
   0.64681    -45.384028    -40.903154
   0.66313    -45.384010    -40.903130
   0.67945    -45.384008    -40.903128
   0.69577    -45.384017    -40.903141
   0.71209    -45.384031    -40.903164
   0.72841    -45.384031    -40.903167
   0.74473    -45.384046    -40.903187
   0.76105    -45.384050    -40.903195
   0.77737    -45.384057    -40.903208
   0.79369    -45.384042    -40.903191
   0.81001    -45.384042    -40.903188
   0.82633    -45.384043    -40.903189
   0.84265    -45.384043    -40.903190
   0.85897    -45.384023    -40.903161
   0.87529    -45.384016    -40.903148
   0.89161    -45.384013    -40.903146
   0.90793    -45.384010    -40.903143
   0.90793    -45.384010    -40.903143
   0.92388    -45.384012    -40.903147
   0.93983    -45.384027    -40.903166
