#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 178 128
# Band-Index    1
   0.00000    -68.832140    -68.761772
   0.01544    -68.832150    -68.761783
   0.03088    -68.832184    -68.761816
   0.04632    -68.832177    -68.761809
   0.06176    -68.832187    -68.761819
   0.07720    -68.832180    -68.761812
   0.09264    -68.832179    -68.761811
   0.10808    -68.832168    -68.761800
   0.12353    -68.832138    -68.761770
   0.13897    -68.832129    -68.761761
   0.15441    -68.832125    -68.761758
   0.16985    -68.832113    -68.761745
   0.18529    -68.832122    -68.761754
   0.20073    -68.832091    -68.761723
   0.21617    -68.832098    -68.761730
   0.23161    -68.832108    -68.761740
   0.24705    -68.832081    -68.761713
   0.26249    -68.832081    -68.761714
   0.27793    -68.832078    -68.761710
   0.29337    -68.832091    -68.761723
   0.30881    -68.832075    -68.761708
   0.32425    -68.832075    -68.761707
   0.33970    -68.832071    -68.761703
   0.35514    -68.832085    -68.761717
   0.37058    -68.832083    -68.761715
   0.38602    -68.832073    -68.761705
   0.40146    -68.832113    -68.761745
   0.41690    -68.832070    -68.761702
   0.43234    -68.832092    -68.761724
   0.44778    -68.832091    -68.761723
   0.46322    -68.832080    -68.761712
   0.47866    -68.832086    -68.761718
   0.49410    -68.832073    -68.761705
   0.50954    -68.832073    -68.761706
   0.52498    -68.832093    -68.761725
   0.54042    -68.832068    -68.761701
   0.55586    -68.832068    -68.761700
   0.57131    -68.832062    -68.761695
   0.58675    -68.832118    -68.761751
   0.60219    -68.832152    -68.761785
   0.60219    -68.832152    -68.761785
   0.61856    -68.832098    -68.761731
   0.63494    -68.832045    -68.761677
   0.65132    -68.832021    -68.761653
   0.66770    -68.832063    -68.761695
   0.68407    -68.832050    -68.761682
   0.70045    -68.832049    -68.761681
   0.71683    -68.832052    -68.761685
   0.73321    -68.832056    -68.761688
   0.74958    -68.832066    -68.761698
   0.76596    -68.832055    -68.761688
   0.78234    -68.832068    -68.761700
   0.79871    -68.832062    -68.761694
   0.81509    -68.832078    -68.761710
   0.81509    -68.832078    -68.761710
   0.83067    -68.832074    -68.761705
   0.84625    -68.832075    -68.761706
   0.86183    -68.832036    -68.761668
   0.87741    -68.832037    -68.761669
   0.89298    -68.832037    -68.761669
   0.90856    -68.832042    -68.761674
   0.92414    -68.832054    -68.761686
   0.93972    -68.832071    -68.761703
   0.95530    -68.832096    -68.761728
   0.97088    -68.832076    -68.761708
   0.98645    -68.832065    -68.761697
   1.00203    -68.832079    -68.761711
   1.01761    -68.832078    -68.761710
   1.03319    -68.832067    -68.761699
   1.04877    -68.832067    -68.761700
   1.06435    -68.832084    -68.761717
   1.07993    -68.832080    -68.761712
   1.09550    -68.832090    -68.761723
   1.11108    -68.832109    -68.761742
   1.12666    -68.832102    -68.761735
   1.14224    -68.832090    -68.761723
   1.15782    -68.832106    -68.761738
   1.17340    -68.832109    -68.761742
   1.18897    -68.832113    -68.761746
   1.20455    -68.832103    -68.761736
   1.22013    -68.832092    -68.761725
   1.23571    -68.832091    -68.761723
   1.25129    -68.832092    -68.761724
   1.26687    -68.832097    -68.761730
   1.28245    -68.832099    -68.761732
   1.29802    -68.832094    -68.761727
   1.31360    -68.832119    -68.761751
   1.32918    -68.832120    -68.761752
   1.34476    -68.832169    -68.761801
   1.36034    -68.832176    -68.761808
   1.37592    -68.832170    -68.761802
   1.39149    -68.832177    -68.761809
   1.40707    -68.832176    -68.761808
   1.42265    -68.832183    -68.761815
   1.43823    -68.832166    -68.761798
   1.45381    -68.832140    -68.761772
   1.45381    -68.832140    -68.761772
   1.46961    -68.832163    -68.761795
   1.48541    -68.832199    -68.761831
   1.50122    -68.832180    -68.761812
   1.51702    -68.832171    -68.761803
   1.53282    -68.832165    -68.761797
   1.54863    -68.832169    -68.761801
   1.56443    -68.832141    -68.761773
   1.58023    -68.832065    -68.761697
   1.59604    -68.832069    -68.761700
   1.61184    -68.832095    -68.761727
   1.62764    -68.832055    -68.761687
   1.64345    -68.832042    -68.761674
   1.65925    -68.832081    -68.761713
   1.67505    -68.832063    -68.761695
   1.69086    -68.832071    -68.761703
   1.70666    -68.832082    -68.761714
   1.72246    -68.832098    -68.761731
   1.73827    -68.832076    -68.761708
   1.75407    -68.832036    -68.761667
   1.76987    -68.832058    -68.761690
   1.78568    -68.832065    -68.761697
   1.80148    -68.832042    -68.761674
   1.81728    -68.832042    -68.761674
   1.83309    -68.832056    -68.761688
   1.84889    -68.831994    -68.761631
   1.86469    -68.831987    -68.761619
   1.88050    -68.832011    -68.761643
   1.89630    -68.832036    -68.761668
   1.91210    -68.832061    -68.761693
   1.92791    -68.832059    -68.761691
   1.94371    -68.832021    -68.761653
   1.95951    -68.832058    -68.761690
   1.97532    -68.831996    -68.761628
   1.97532    -68.831996    -68.761628
   1.99109    -68.832031    -68.761663
   2.00686    -68.832037    -68.761669
   2.02263    -68.832033    -68.761665
   2.03840    -68.832043    -68.761676
   2.05417    -68.832036    -68.761668
   2.06994    -68.832028    -68.761660
   2.08571    -68.832018    -68.761650
   2.10148    -68.832016    -68.761648
   2.11725    -68.832039    -68.761671
   2.13302    -68.832044    -68.761676
   2.14880    -68.832035    -68.761667
   2.16457    -68.832029    -68.761661
   2.18034    -68.832027    -68.761659
   2.19611    -68.832028    -68.761659
   2.21188    -68.832034    -68.761666
   2.22765    -68.832032    -68.761664
   2.24342    -68.832040    -68.761672
   2.25919    -68.832057    -68.761689
   2.27496    -68.832042    -68.761674
   2.29073    -68.832065    -68.761697
   2.30650    -68.832066    -68.761698
   2.32227    -68.832077    -68.761709
   2.33804    -68.832073    -68.761705
   2.35382    -68.832073    -68.761706
   2.36959    -68.832069    -68.761701
   2.38536    -68.832084    -68.761716
   2.40113    -68.832084    -68.761716
   2.40113    -68.832084    -68.761716
   2.41697    -68.832091    -68.761723
   2.43282    -68.832074    -68.761706
   2.44867    -68.832070    -68.761702
   2.46452    -68.832072    -68.761704
   2.48036    -68.832054    -68.761686
   2.49621    -68.832061    -68.761693
   2.51206    -68.832077    -68.761710
   2.52790    -68.832068    -68.761700
   2.54375    -68.832060    -68.761692
   2.55960    -68.832061    -68.761693
   2.57544    -68.832062    -68.761694
   2.59129    -68.832054    -68.761686
   2.60714    -68.832054    -68.761686
   2.62299    -68.832071    -68.761703
   2.63883    -68.832069    -68.761702
   2.65468    -68.832062    -68.761694
   2.67053    -68.832082    -68.761714
   2.68637    -68.832107    -68.761739
   2.70222    -68.832152    -68.761785
 
# Band-Index    2
   2.70222    -68.832055    -68.761692
   2.68637    -68.832006    -68.761643
   2.67053    -68.831972    -68.761608
   2.65468    -68.831958    -68.761594
   2.63883    -68.831968    -68.761605
   2.62299    -68.831970    -68.761607
   2.60714    -68.831955    -68.761592
   2.59129    -68.831955    -68.761592
   2.57544    -68.831964    -68.761601
   2.55960    -68.831961    -68.761598
   2.54375    -68.831961    -68.761597
   2.52790    -68.831968    -68.761605
   2.51206    -68.831975    -68.761612
   2.49621    -68.831961    -68.761597
   2.48036    -68.831950    -68.761587
   2.46452    -68.831967    -68.761604
   2.44867    -68.831965    -68.761602
   2.43282    -68.831966    -68.761603
   2.41697    -68.831986    -68.761623
   2.40113    -68.831979    -68.761616
   2.40113    -68.831979    -68.761616
   2.38536    -68.831980    -68.761617
   2.36959    -68.831983    -68.761620
   2.35382    -68.831993    -68.761630
   2.33804    -68.831979    -68.761615
   2.32227    -68.831985    -68.761622
   2.30650    -68.831973    -68.761610
   2.29073    -68.831976    -68.761613
   2.27496    -68.831972    -68.761609
   2.25919    -68.831990    -68.761627
   2.24342    -68.831961    -68.761598
   2.22765    -68.831973    -68.761610
   2.21188    -68.831981    -68.761618
   2.19611    -68.831984    -68.761620
   2.18034    -68.831984    -68.761621
   2.16457    -68.831981    -68.761618
   2.14880    -68.831989    -68.761626
