,pretty_formula,spacegroup,material_id,e_above_hull,band_gap,elements,tolerance
214,Cs2IBrCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-992141,0.0228638770000002,1.1674000000000002,"['Br', 'Cl', 'Cs', 'I']",[]
215,Rb2AgSbBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113722,0.0208089078749988,1.1770999999999998,"['Ag', 'Br', 'Rb', 'Sb']",[4.4416249279140985]
216,Cs2AgSbBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112943,0.0075474861875002,1.2018,"['Ag', 'Br', 'Cs', 'Sb']",[4.175544051651586]
217,Cs2BrCl6F,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-989543,0.0,1.2145,"['Br', 'Cl', 'Cs', 'F']",[]
218,Cs2TlSbBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112108,0.0135042370000011,1.2264,"['Br', 'Cs', 'Sb', 'Tl']",[4.332388502735665]
219,Cs2TlAsBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112112,0.0,1.2309,"['As', 'Br', 'Cs', 'Tl']",[4.175275856027582]
220,Rb2InAsCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114648,0.0713098309166668,1.2379999999999998,"['As', 'Cl', 'In', 'Rb']",[]
221,Rb2BrCl6F,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-989573,0.0,1.239,"['Rb', 'Br', 'Cl', 'F']",[]
222,Rb2GaAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113785,0.0618707469999972,1.2397,"['Ag', 'Cl', 'Ga', 'Rb']",[4.205756372291236]
223,Cs2YAuI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112916,0.0777839974999992,1.2458000000000002,"['Au', 'Cs', 'I', 'Y']",[4.6665336522624585]
224,Cs2InGaBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112627,0.0324439462499985,1.2639,"['Br', 'Cs', 'Ga', 'In']",[]
225,KRb2InI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114511,0.0934672236666669,1.2639,"['I', 'In', 'K', 'Rb']",[5.011682979953523]
226,Cs2KInI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113045,0.0562667517499995,1.266,"['Cs', 'I', 'In', 'K']",[4.52401343441422]
227,Cs2LiMoI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113011,0.0858947857083349,1.2700999999999998,"['Cs', 'I', 'Li', 'Mo']",[4.797968963750405]
228,Cs2LiMoBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113013,0.0475572964999995,1.2713,"['Br', 'Cs', 'Li', 'Mo']",[4.466548057750741]
229,Rb2LiMoBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114422,0.0546301179583319,1.2722,"['Br', 'Li', 'Mo', 'Rb']",[4.537501723405901]
230,Rb2InSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114525,0.0274277633749977,1.2944999999999998,"['Cl', 'In', 'Rb', 'Sb']",[]
231,Cs2HgPdCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}",mp-1079232,0.0016723510500007,1.2978999999999998,"['Cl', 'Cs', 'Hg', 'Pd']","[4.02198775312894, 4.015650570583176]"
232,Cs2GaAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113623,0.0682543440000014,1.3071000000000002,"['Ag', 'Cl', 'Cs', 'Ga']",[4.043647453276685]
233,Rb2InAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113761,0.0,1.3232,"['Ag', 'Cl', 'In', 'Rb']",[4.329074615865417]
234,Cs2ICl6F,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-989516,0.0,1.348,"['Cs', 'I', 'Cl', 'F']",[]
235,Cs2TlBiI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112501,0.0235212105000011,1.3723,"['Bi', 'Cs', 'I', 'Tl']",[5.319522836805537]
236,Cs2InAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1096926,0.0,1.3724,"['Ag', 'Cl', 'Cs', 'In']",[4.026911256841516]
237,Cs2KTlBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113030,0.0203789092499997,1.3744999999999998,"['Br', 'Cs', 'K', 'Tl']",[4.433685812590162]
238,Cs2NaCrCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1205696,0.0,1.3791000000000002,"['Cl', 'Cr', 'Cs', 'Na']",[4.111771815198844]
239,Cs2InSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112887,0.0609939971666704,1.384,"['Cl', 'Cs', 'In', 'Sb']",[]
240,Cs2NaMoI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112148,0.0713757132083348,1.3989000000000005,"['Cs', 'I', 'Mo', 'Na']",[4.513852161299887]
