#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 188  80
# Band-Index    1
   0.00000    -37.124650    -35.861901
   0.01586    -37.124650    -35.861901
   0.03172    -37.124650    -35.861901
   0.04758    -37.124650    -35.861901
   0.06344    -37.124649    -35.861899
   0.07930    -37.124648    -35.861897
   0.09516    -37.124647    -35.861895
   0.11102    -37.124646    -35.861894
   0.12688    -37.124645    -35.861894
   0.14274    -37.124645    -35.861894
   0.15860    -37.124645    -35.861893
   0.17446    -37.124644    -35.861893
   0.19031    -37.124645    -35.861894
   0.20617    -37.124645    -35.861894
   0.22203    -37.124645    -35.861894
   0.23789    -37.124644    -35.861893
   0.25375    -37.124644    -35.861894
   0.26961    -37.124644    -35.861893
   0.28547    -37.124644    -35.861893
   0.30133    -37.124644    -35.861893
   0.31719    -37.124643    -35.861891
   0.33305    -37.124643    -35.861891
   0.34891    -37.124643    -35.861890
   0.36477    -37.124644    -35.861891
   0.38063    -37.124645    -35.861892
   0.39649    -37.124646    -35.861893
   0.41235    -37.124647    -35.861894
   0.42821    -37.124647    -35.861894
   0.44407    -37.124647    -35.861894
   0.45993    -37.124647    -35.861894
   0.47579    -37.124647    -35.861894
   0.49165    -37.124645    -35.861893
   0.50751    -37.124645    -35.861892
   0.52337    -37.124645    -35.861892
   0.52337    -37.124645    -35.861892
   0.54006    -37.124644    -35.861892
   0.55676    -37.124646    -35.861893
   0.57346    -37.124645    -35.861893
   0.59015    -37.124645    -35.861892
   0.60685    -37.124645    -35.861892
   0.62355    -37.124645    -35.861892
   0.64024    -37.124646    -35.861894
   0.65694    -37.124646    -35.861895
   0.67364    -37.124646    -35.861896
   0.69033    -37.124646    -35.861896
   0.70703    -37.124646    -35.861895
   0.72373    -37.124645    -35.861895
   0.74042    -37.124645    -35.861894
   0.75712    -37.124644    -35.861894
   0.77382    -37.124644    -35.861894
   0.77382    -37.124644    -35.861894
   0.78915    -37.124644    -35.861895
   0.80448    -37.124645    -35.861895
   0.81982    -37.124646    -35.861897
   0.83515    -37.124647    -35.861897
   0.85048    -37.124647    -35.861898
   0.86581    -37.124647    -35.861898
   0.88115    -37.124646    -35.861897
   0.89648    -37.124646    -35.861896
   0.91181    -37.124644    -35.861895
   0.92715    -37.124644    -35.861894
   0.94248    -37.124643    -35.861893
   0.95781    -37.124643    -35.861894
   0.97314    -37.124644    -35.861894
   0.98848    -37.124644    -35.861895
   1.00381    -37.124645    -35.861895
   1.01914    -37.124647    -35.861896
   1.03448    -37.124648    -35.861897
   1.04981    -37.124648    -35.861896
   1.06514    -37.124647    -35.861895
   1.08047    -37.124646    -35.861895
   1.09581    -37.124645    -35.861893
   1.11114    -37.124643    -35.861891
   1.12647    -37.124643    -35.861891
   1.14181    -37.124642    -35.861891
   1.15714    -37.124642    -35.861890
   1.17247    -37.124643    -35.861891
   1.18780    -37.124645    -35.861892
   1.20314    -37.124645    -35.861893
   1.21847    -37.124645    -35.861893
   1.23380    -37.124645    -35.861892
   1.24914    -37.124645    -35.861892
   1.26447    -37.124645    -35.861893
   1.27980    -37.124645    -35.861892
   1.29513    -37.124644    -35.861891
   1.31047    -37.124644    -35.861892
   1.32580    -37.124645    -35.861893
   1.34113    -37.124646    -35.861896
   1.35647    -37.124647    -35.861897
   1.37180    -37.124647    -35.861897
   1.38713    -37.124647    -35.861897
   1.40246    -37.124647    -35.861897
   1.41780    -37.124646    -35.861895
   1.43313    -37.124646    -35.861895
   1.44846    -37.124646    -35.861895
   1.46380    -37.124647    -35.861895
   1.47913    -37.124648    -35.861896
   1.49446    -37.124650    -35.861901
   1.50979    -37.124650    -35.861901
   1.52513    -37.124650    -35.861901
   1.52513    -37.124650    -35.861901
   1.54062    -37.124650    -35.861901
   1.55612    -37.124650    -35.861901
   1.57161    -37.124648    -35.861896
   1.58710    -37.124646    -35.861895
   1.60260    -37.124646    -35.861895
   1.61809    -37.124647    -35.861896
   1.63359    -37.124647    -35.861897
   1.64908    -37.124647    -35.861897
   1.66457    -37.124648    -35.861897
   1.68007    -37.124647    -35.861896
   1.69556    -37.124645    -35.861894
   1.71106    -37.124644    -35.861890
   1.72655    -37.124643    -35.861890
   1.74205    -37.124643    -35.861890
   1.75754    -37.124643    -35.861890
   1.77303    -37.124644    -35.861892
   1.78853    -37.124646    -35.861894
   1.80402    -37.124647    -35.861895
   1.81952    -37.124648    -35.861895
   1.83501    -37.124648    -35.861895
   1.85051    -37.124647    -35.861895
   1.86600    -37.124646    -35.861894
   1.88149    -37.124645    -35.861892
   1.89699    -37.124643    -35.861890
   1.91248    -37.124642    -35.861890
   1.92798    -37.124643    -35.861892
   1.94347    -37.124643    -35.861892
   1.95897    -37.124645    -35.861894
   1.97446    -37.124647    -35.861895
   1.98995    -37.124646    -35.861896
   2.00545    -37.124646    -35.861895
   2.02094    -37.124646    -35.861895
   2.03644    -37.124646    -35.861895
   2.05193    -37.124644    -35.861894
   2.06743    -37.124643    -35.861894
   2.08292    -37.124643    -35.861894
   2.09841    -37.124643    -35.861894
   2.11391    -37.124644    -35.861895
   2.12940    -37.124645    -35.861896
   2.12940    -37.124645    -35.861896
   2.14529    -37.124645    -35.861896
   2.16117    -37.124645    -35.861895
   2.17706    -37.124644    -35.861895
   2.19294    -37.124644    -35.861895
   2.20883    -37.124645    -35.861895
   2.22471    -37.124645    -35.861895
   2.24060    -37.124645    -35.861895
   2.25648    -37.124646    -35.861895
   2.27237    -37.124646    -35.861896
   2.28825    -37.124646    -35.861896
   2.30414    -37.124646    -35.861896
   2.32002    -37.124645    -35.861895
   2.33591    -37.124644    -35.861894
   2.35179    -37.124644    -35.861894
   2.36768    -37.124643    -35.861892
   2.38356    -37.124642    -35.861892
   2.39945    -37.124642    -35.861891
   2.41533    -37.124642    -35.861892
   2.43122    -37.124643    -35.861892
   2.43122    -37.124643    -35.861892
   2.44704    -37.124643    -35.861893
   2.46286    -37.124643    -35.861894
   2.47869    -37.124644    -35.861894
   2.49451    -37.124644    -35.861894
   2.51033    -37.124646    -35.861895
   2.52615    -37.124647    -35.861897
   2.54198    -37.124647    -35.861897
   2.55780    -37.124647    -35.861898
   2.57362    -37.124647    -35.861897
   2.58944    -37.124646    -35.861896
   2.60527    -37.124645    -35.861895
   2.62109    -37.124645    -35.861894
