#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 170 128
# Band-Index    1
   0.00000    -21.644713    -21.644713
   0.01562    -21.644714    -21.644714
   0.03124    -21.644715    -21.644715
   0.04686    -21.644723    -21.644723
   0.06248    -21.644733    -21.644733
   0.07810    -21.644745    -21.644745
   0.09372    -21.644758    -21.644758
   0.10934    -21.644773    -21.644773
   0.12496    -21.644791    -21.644791
   0.14058    -21.644810    -21.644810
   0.15620    -21.644829    -21.644829
   0.17182    -21.644852    -21.644852
   0.18745    -21.644879    -21.644879
   0.20307    -21.644906    -21.644906
   0.21869    -21.644934    -21.644934
   0.23431    -21.644962    -21.644962
   0.24993    -21.644991    -21.644991
   0.26555    -21.645015    -21.645015
   0.28117    -21.645041    -21.645041
   0.29679    -21.645067    -21.645067
   0.31241    -21.645094    -21.645094
   0.32803    -21.645122    -21.645122
   0.34365    -21.645149    -21.645149
   0.35927    -21.645175    -21.645175
   0.37489    -21.645197    -21.645197
   0.39051    -21.645218    -21.645218
   0.40613    -21.645237    -21.645237
   0.42175    -21.645256    -21.645256
   0.43737    -21.645274    -21.645274
   0.45299    -21.645290    -21.645290
   0.46861    -21.645305    -21.645305
   0.48423    -21.645319    -21.645319
   0.49985    -21.645331    -21.645331
   0.51547    -21.645336    -21.645336
   0.53109    -21.645344    -21.645344
   0.54671    -21.645348    -21.645348
   0.56234    -21.645351    -21.645351
   0.57796    -21.645353    -21.645353
   0.57796    -21.645353    -21.645353
   0.59498    -21.645351    -21.645351
   0.61201    -21.645347    -21.645347
   0.62904    -21.645341    -21.645341
   0.64607    -21.645334    -21.645334
   0.66310    -21.645323    -21.645323
   0.68012    -21.645312    -21.645312
   0.69715    -21.645296    -21.645296
   0.71418    -21.645279    -21.645279
   0.73121    -21.645260    -21.645260
   0.74824    -21.645239    -21.645239
   0.76527    -21.645216    -21.645216
   0.78229    -21.645194    -21.645194
   0.78229    -21.645186    -21.645186
   0.79801    -21.645164    -21.645164
   0.81373    -21.645143    -21.645143
   0.82945    -21.645121    -21.645121
   0.84517    -21.645099    -21.645099
   0.86089    -21.645112    -21.645112
   0.87660    -21.645129    -21.645129
   0.89232    -21.645144    -21.645144
   0.90804    -21.645158    -21.645158
   0.92376    -21.645169    -21.645169
   0.93948    -21.645179    -21.645179
   0.95520    -21.645185    -21.645185
   0.97091    -21.645189    -21.645189
   0.98663    -21.645191    -21.645191
   1.00235    -21.645186    -21.645186
   1.01807    -21.645176    -21.645176
   1.03379    -21.645164    -21.645164
   1.04951    -21.645151    -21.645151
   1.06522    -21.645135    -21.645135
   1.08094    -21.645119    -21.645119
   1.09666    -21.645099    -21.645099
   1.11238    -21.645078    -21.645078
   1.12810    -21.645053    -21.645053
   1.14382    -21.645026    -21.645026
   1.15953    -21.644997    -21.644997
   1.17525    -21.644967    -21.644967
   1.19097    -21.644939    -21.644939
   1.20669    -21.644912    -21.644912
   1.22241    -21.644886    -21.644886
   1.23813    -21.644861    -21.644861
   1.25384    -21.644836    -21.644836
   1.26956    -21.644813    -21.644813
   1.28528    -21.644791    -21.644791
   1.30100    -21.644770    -21.644770
   1.31672    -21.644752    -21.644752
   1.33244    -21.644737    -21.644737
   1.34815    -21.644725    -21.644725
   1.36387    -21.644717    -21.644717
   1.37959    -21.644715    -21.644715
   1.39531    -21.644713    -21.644713
   1.39531    -21.644713    -21.644713
   1.41095    -21.644715    -21.644715
   1.42659    -21.644719    -21.644719
   1.44223    -21.644725    -21.644725
   1.45787    -21.644737    -21.644737
   1.47352    -21.644754    -21.644754
   1.48916    -21.644772    -21.644772
   1.50480    -21.644794    -21.644794
   1.52044    -21.644819    -21.644819
   1.53608    -21.644845    -21.644845
   1.55172    -21.644872    -21.644872
   1.56736    -21.644901    -21.644901
   1.58301    -21.644935    -21.644935
   1.59865    -21.644970    -21.644970
   1.61429    -21.645005    -21.645005
   1.62993    -21.645040    -21.645040
   1.64557    -21.645076    -21.645076
   1.66121    -21.645112    -21.645112
   1.67685    -21.645146    -21.645146
   1.69250    -21.645180    -21.645180
   1.70814    -21.645214    -21.645214
   1.72378    -21.645246    -21.645246
   1.73942    -21.645277    -21.645277
   1.75506    -21.645305    -21.645305
   1.77070    -21.645331    -21.645331
   1.78634    -21.645356    -21.645356
   1.80198    -21.645377    -21.645377
   1.81763    -21.645394    -21.645394
   1.83327    -21.645410    -21.645410
   1.84891    -21.645422    -21.645422
   1.86455    -21.645433    -21.645433
   1.88019    -21.645438    -21.645438
   1.89583    -21.645440    -21.645440
   1.89583    -21.645440    -21.645440
