#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 226 152
# Band-Index    1
   0.00000    -51.827924    -51.827924
   0.01532    -51.827919    -51.827919
   0.03065    -51.827920    -51.827920
   0.04597    -51.827920    -51.827920
   0.06130    -51.827921    -51.827921
   0.07662    -51.827921    -51.827921
   0.09194    -51.827919    -51.827919
   0.10727    -51.827921    -51.827921
   0.12259    -51.827928    -51.827928
   0.13791    -51.827931    -51.827931
   0.15324    -51.827932    -51.827932
   0.16856    -51.827932    -51.827932
   0.18389    -51.827931    -51.827931
   0.19921    -51.827929    -51.827929
   0.21453    -51.827928    -51.827928
   0.22986    -51.827924    -51.827924
   0.24518    -51.827919    -51.827919
   0.26051    -51.827915    -51.827915
   0.27583    -51.827912    -51.827912
   0.29115    -51.827908    -51.827908
   0.30648    -51.827906    -51.827906
   0.32180    -51.827903    -51.827903
   0.33712    -51.827907    -51.827907
   0.35245    -51.827905    -51.827905
   0.36777    -51.827905    -51.827905
   0.38310    -51.827908    -51.827908
   0.39842    -51.827911    -51.827911
   0.41374    -51.827908    -51.827908
   0.42907    -51.827903    -51.827903
   0.42907    -51.827912    -51.827912
   0.43905    -51.827908    -51.827908
   0.44903    -51.827912    -51.827912
   0.45901    -51.827916    -51.827916
   0.46899    -51.827917    -51.827917
   0.47897    -51.827917    -51.827917
   0.48896    -51.827921    -51.827921
   0.49894    -51.827921    -51.827921
   0.50892    -51.827921    -51.827921
   0.51890    -51.827921    -51.827921
   0.52888    -51.827920    -51.827920
   0.53886    -51.827925    -51.827925
   0.54884    -51.827923    -51.827923
   0.55882    -51.827923    -51.827923
   0.56881    -51.827925    -51.827925
   0.57879    -51.827924    -51.827924
   0.58877    -51.827926    -51.827926
   0.59875    -51.827930    -51.827930
   0.60873    -51.827924    -51.827924
   0.61871    -51.827919    -51.827919
   0.62869    -51.827918    -51.827918
   0.63867    -51.827918    -51.827918
   0.64866    -51.827918    -51.827918
   0.65864    -51.827916    -51.827916
   0.66862    -51.827917    -51.827917
   0.67860    -51.827923    -51.827923
   0.68858    -51.827925    -51.827925
   0.69856    -51.827924    -51.827924
   0.69856    -51.827924    -51.827924
   0.72595    -51.827920    -51.827920
   0.75333    -51.827919    -51.827919
   0.78071    -51.827923    -51.827923
   0.80809    -51.827930    -51.827930
   0.83548    -51.827927    -51.827927
   0.86286    -51.827933    -51.827933
   0.89024    -51.827930    -51.827930
   0.91763    -51.827922    -51.827922
   0.94501    -51.827918    -51.827918
   0.97239    -51.827918    -51.827918
   0.99977    -51.827914    -51.827914
   1.02716    -51.827909    -51.827909
   1.05454    -51.827902    -51.827902
   1.08192    -51.827894    -51.827894
   1.10931    -51.827895    -51.827895
   1.13669    -51.827892    -51.827892
   1.13669    -51.827905    -51.827905
   1.14915    -51.827910    -51.827910
   1.16160    -51.827912    -51.827912
