#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 171 128
# Band-Index    1
   0.00000    -25.092979    -25.092980
   0.01568    -25.092979    -25.092980
   0.03136    -25.092979    -25.092980
   0.04705    -25.092978    -25.092979
   0.06273    -25.092976    -25.092977
   0.07841    -25.092976    -25.092977
   0.09409    -25.092976    -25.092977
   0.10978    -25.092974    -25.092975
   0.12546    -25.092973    -25.092974
   0.14114    -25.092972    -25.092973
   0.15682    -25.092971    -25.092972
   0.17250    -25.092971    -25.092972
   0.18819    -25.092970    -25.092971
   0.20387    -25.092967    -25.092968
   0.21955    -25.092965    -25.092967
   0.23523    -25.092963    -25.092964
   0.25092    -25.092962    -25.092963
   0.26660    -25.092960    -25.092961
   0.28228    -25.092960    -25.092961
   0.29796    -25.092959    -25.092960
   0.31365    -25.092956    -25.092957
   0.32933    -25.092954    -25.092955
   0.34501    -25.092951    -25.092952
   0.36069    -25.092950    -25.092951
   0.37637    -25.092948    -25.092949
   0.39206    -25.092947    -25.092948
   0.40774    -25.092946    -25.092947
   0.42342    -25.092944    -25.092945
   0.43910    -25.092943    -25.092944
   0.45479    -25.092942    -25.092943
   0.47047    -25.092941    -25.092942
   0.48615    -25.092940    -25.092941
   0.50183    -25.092939    -25.092940
   0.51751    -25.092938    -25.092939
   0.53320    -25.092936    -25.092937
   0.54888    -25.092935    -25.092936
   0.56456    -25.092936    -25.092937
   0.58024    -25.092937    -25.092938
   0.58024    -25.092937    -25.092938
   0.59734    -25.092936    -25.092937
   0.61443    -25.092935    -25.092936
   0.63153    -25.092936    -25.092937
   0.64863    -25.092937    -25.092938
   0.66572    -25.092937    -25.092938
   0.68282    -25.092937    -25.092938
   0.69991    -25.092937    -25.092938
   0.71701    -25.092937    -25.092938
   0.73410    -25.092938    -25.092939
   0.75120    -25.092937    -25.092938
   0.76829    -25.092937    -25.092938
   0.78539    -25.092937    -25.092938
   0.78539    -25.092937    -25.092938
   0.80078    -25.092937    -25.092939
   0.81616    -25.092938    -25.092939
   0.83155    -25.092938    -25.092939
   0.84693    -25.092939    -25.092940
   0.86232    -25.092939    -25.092940
   0.87771    -25.092939    -25.092940
   0.89309    -25.092940    -25.092941
   0.90848    -25.092941    -25.092942
   0.92386    -25.092942    -25.092943
   0.93925    -25.092943    -25.092944
   0.95464    -25.092944    -25.092945
   0.97002    -25.092945    -25.092946
   0.98541    -25.092945    -25.092946
   1.00079    -25.092947    -25.092948
   1.01618    -25.092948    -25.092949
   1.03157    -25.092950    -25.092951
   1.04695    -25.092952    -25.092953
   1.06234    -25.092954    -25.092955
   1.07773    -25.092955    -25.092956
   1.09311    -25.092957    -25.092958
   1.10850    -25.092958    -25.092959
   1.12388    -25.092959    -25.092960
   1.13927    -25.092960    -25.092961
   1.15466    -25.092962    -25.092963
   1.17004    -25.092963    -25.092964
   1.18543    -25.092964    -25.092965
   1.20081    -25.092965    -25.092966
   1.21620    -25.092966    -25.092967
   1.23159    -25.092969    -25.092970
   1.24697    -25.092971    -25.092972
   1.26236    -25.092972    -25.092973
   1.27774    -25.092973    -25.092974
   1.29313    -25.092974    -25.092975
   1.30852    -25.092975    -25.092976
   1.32390    -25.092976    -25.092977
   1.33929    -25.092978    -25.092979
   1.35467    -25.092978    -25.092979
   1.37006    -25.092979    -25.092980
   1.38545    -25.092979    -25.092980
   1.40083    -25.092979    -25.092980
   1.40083    -25.092979    -25.092980
   1.41653    -25.092979    -25.092980
   1.43224    -25.092979    -25.092980
   1.44794    -25.092978    -25.092979
   1.46364    -25.092977    -25.092978
   1.47935    -25.092977    -25.092978
   1.49505    -25.092976    -25.092977
   1.51075    -25.092974    -25.092975
   1.52646    -25.092973    -25.092974
   1.54216    -25.092971    -25.092972
   1.55786    -25.092971    -25.092972
   1.57357    -25.092970    -25.092971
   1.58927    -25.092969    -25.092970
   1.60497    -25.092966    -25.092967
   1.62068    -25.092964    -25.092965
   1.63638    -25.092963    -25.092964
   1.65208    -25.092961    -25.092962
   1.66779    -25.092959    -25.092960
   1.68349    -25.092958    -25.092959
   1.69919    -25.092957    -25.092958
   1.71490    -25.092955    -25.092956
   1.73060    -25.092954    -25.092955
   1.74630    -25.092952    -25.092953
   1.76201    -25.092951    -25.092952
   1.77771    -25.092950    -25.092951
   1.79341    -25.092950    -25.092951
   1.80912    -25.092949    -25.092950
   1.82482    -25.092948    -25.092949
   1.84052    -25.092946    -25.092947
   1.85623    -25.092946    -25.092947
   1.87193    -25.092946    -25.092947
   1.88763    -25.092945    -25.092946
   1.90334    -25.092944    -25.092945
   1.90334    -25.092944    -25.092945
   1.91912    -25.092945    -25.092946
   1.93490    -25.092945    -25.092946
   1.95068    -25.092946    -25.092947
   1.96646    -25.092946    -25.092947
   1.98224    -25.092945    -25.092946
   1.99802    -25.092945    -25.092946
   2.01380    -25.092945    -25.092946
