#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 181 128
# Band-Index    1
   0.00000    -33.655195    -32.609848
   0.01572    -33.655195    -32.609849
   0.03144    -33.655197    -32.609849
   0.04716    -33.655198    -32.609849
   0.06288    -33.655201    -32.609850
   0.07860    -33.655201    -32.609850
   0.09432    -33.655202    -32.609851
   0.11004    -33.655202    -32.609850
   0.12576    -33.655202    -32.609850
   0.14148    -33.655203    -32.609850
   0.15720    -33.655202    -32.609850
   0.17292    -33.655200    -32.609850
   0.18864    -33.655199    -32.609849
   0.20436    -33.655199    -32.609849
   0.22008    -33.655198    -32.609847
   0.23580    -33.655198    -32.609847
   0.25152    -33.655198    -32.609847
   0.26724    -33.655196    -32.609845
   0.28296    -33.655196    -32.609843
   0.29868    -33.655197    -32.609844
   0.31440    -33.655196    -32.609843
   0.33012    -33.655196    -32.609842
   0.34584    -33.655197    -32.609843
   0.36156    -33.655197    -32.609844
   0.37728    -33.655196    -32.609843
   0.39300    -33.655197    -32.609844
   0.40872    -33.655197    -32.609845
   0.42444    -33.655197    -32.609845
   0.44016    -33.655198    -32.609844
   0.45588    -33.655199    -32.609845
   0.47160    -33.655200    -32.609846
   0.48732    -33.655200    -32.609846
   0.50304    -33.655199    -32.609846
   0.51876    -33.655200    -32.609847
   0.51876    -33.655200    -32.609847
   0.53529    -33.655199    -32.609845
   0.55183    -33.655198    -32.609845
   0.56836    -33.655198    -32.609844
   0.58489    -33.655197    -32.609844
   0.60143    -33.655197    -32.609844
   0.61796    -33.655198    -32.609845
   0.63449    -33.655198    -32.609845
   0.65103    -33.655199    -32.609846
   0.66756    -33.655201    -32.609848
   0.68409    -33.655201    -32.609849
   0.70063    -33.655200    -32.609849
   0.71716    -33.655198    -32.609847
   0.73369    -33.655198    -32.609846
   0.75023    -33.655198    -32.609848
   0.76676    -33.655198    -32.609848
   0.76676    -33.655199    -32.609850
   0.78227    -33.655200    -32.609852
   0.79778    -33.655200    -32.609852
   0.81329    -33.655199    -32.609851
   0.82880    -33.655200    -32.609851
   0.84431    -33.655200    -32.609851
   0.85982    -33.655199    -32.609849
   0.87533    -33.655199    -32.609848
   0.89084    -33.655198    -32.609847
   0.90635    -33.655199    -32.609847
   0.92186    -33.655199    -32.609847
   0.93737    -33.655198    -32.609846
