,material_id,symbols,spin_polarized,bandgap,fermi_energy,is_metal,space_group_number
22,3_scan/mp-1300124,"['Ba', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cr', 'Cs', 'Cs']",True,"{'direct': False, 'energy': 2.5591, 'transition': '(0.500,0.000,0.000)-(0.456,0.456,-0.456)'}",0.82199318,False,87
23,3_scan/mp-1300082,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'K', 'Sc']",True,"{'direct': False, 'energy': 3.7562, 'transition': '(0.000,0.500,0.500)-(0.500,0.000,0.500)'}",-2.59702642,False,1
24,3_scan/mp-1300131,"['Cs', 'Cs', 'Cs', 'Cs', 'Ti', 'Ti', 'Hg', 'Hg', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",False,"{'energy': 0.0, 'direct': False, 'transition': None}",-0.31870623,True,14
25,3_scan/mp-1300168,"['Ba', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'V']",True,"{'direct': False, 'energy': 4.1606, 'transition': '(0.000,0.500,0.500)-(0.000,0.000,0.000)'}",0.6988911,False,1
26,3_scan/mp-1112958,"['Cs', 'Cs', 'Dy', 'Cu', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 3.4207, 'transition': '(0.500,0.000,0.000)-(0.000,0.000,0.000)'}",1.793481,False,225
27,3_scan/mp-1300024,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Pt', 'V']",True,"{'direct': False, 'energy': 1.9899, 'transition': '(0.000,0.000,0.000)-(0.245,0.245,0.500)'}",1.20178185,False,12
28,3_scan/mp-1300209,"['Cs', 'Cs', 'Cs', 'Cs', 'Sc', 'Sc', 'Au', 'Au', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 3.4579, 'transition': '(0.000,-0.500,0.500)-(-0.500,0.000,0.500)'}",0.07670519,False,1
29,3_scan/mp-1300047,"['Ca', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Co', 'Cs', 'Cs']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",0.80628594,True,1
30,3_scan/mp-1113440,"['Cs', 'Cs', 'Tm', 'Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 4.1627, 'transition': '(0.500,0.000,0.000)-(0.000,0.000,0.000)'}",0.43725484,False,225
31,3_scan/mp-1300177,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Fe', 'Pb']",False,"{'direct': False, 'energy': 3.0192000000000005, 'transition': '(0.429,0.000,0.000)-(0.000,0.000,0.500)'}",1.24352911,False,1
