#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 330  72
# Band-Index    1
   0.00000    -40.308955    -37.663640
   0.01545    -40.308944    -37.663621
   0.03090    -40.308926    -37.663597
   0.04636    -40.308870    -37.663532
   0.06181    -40.308842    -37.663506
   0.07726    -40.308834    -37.663496
   0.09271    -40.308816    -37.663481
   0.10816    -40.308802    -37.663467
   0.12361    -40.308793    -37.663452
   0.13907    -40.308781    -37.663442
   0.15452    -40.308776    -37.663434
   0.16997    -40.308782    -37.663446
   0.18542    -40.308771    -37.663428
   0.20087    -40.308765    -37.663419
   0.21633    -40.308767    -37.663421
   0.23178    -40.308768    -37.663420
   0.24723    -40.308764    -37.663419
   0.26268    -40.308772    -37.663422
   0.27813    -40.308771    -37.663421
   0.29358    -40.308775    -37.663426
   0.30904    -40.308783    -37.663444
   0.32449    -40.308794    -37.663453
   0.33994    -40.308795    -37.663456
   0.35539    -40.308793    -37.663453
   0.37084    -40.308790    -37.663453
   0.38630    -40.308797    -37.663458
   0.40175    -40.308796    -37.663461
   0.41720    -40.308795    -37.663462
   0.43265    -40.308791    -37.663454
   0.44810    -40.308788    -37.663450
   0.46355    -40.308790    -37.663454
   0.47901    -40.308797    -37.663463
   0.49446    -40.308785    -37.663451
   0.50991    -40.308777    -37.663436
   0.52536    -40.308780    -37.663439
   0.54081    -40.308776    -37.663433
   0.55627    -40.308771    -37.663432
   0.57172    -40.308766    -37.663427
   0.58717    -40.308767    -37.663427
   0.60262    -40.308771    -37.663430
   0.61807    -40.308770    -37.663432
   0.63352    -40.308766    -37.663429
   0.64898    -40.308774    -37.663440
   0.66443    -40.308779    -37.663442
   0.67988    -40.308776    -37.663439
   0.69533    -40.308761    -37.663418
   0.71078    -40.308758    -37.663409
   0.72624    -40.308753    -37.663402
   0.74169    -40.308756    -37.663405
   0.75714    -40.308749    -37.663404
   0.77259    -40.308752    -37.663409
   0.78804    -40.308758    -37.663414
   0.80349    -40.308758    -37.663415
   0.81895    -40.308765    -37.663419
   0.83440    -40.308767    -37.663424
   0.84985    -40.308773    -37.663424
   0.86530    -40.308771    -37.663431
   0.88075    -40.308786    -37.663444
   0.89621    -40.308793    -37.663459
   0.91166    -40.308795    -37.663461
   0.92711    -40.308788    -37.663446
   0.94256    -40.308783    -37.663445
   0.95801    -40.308782    -37.663443
   0.97346    -40.308784    -37.663449
   0.98892    -40.308779    -37.663444
   1.00437    -40.308774    -37.663431
   1.00437    -40.308774    -37.663431
   1.02037    -40.308783    -37.663453
   1.03638    -40.308783    -37.663449
   1.05238    -40.308785    -37.663450
   1.06839    -40.308799    -37.663470
   1.08439    -40.308791    -37.663454
   1.10040    -40.308792    -37.663460
   1.11641    -40.308790    -37.663455
   1.13241    -40.308787    -37.663449
   1.14842    -40.308793    -37.663452
   1.16442    -40.308787    -37.663444
   1.18043    -40.308785    -37.663444
   1.19643    -40.308772    -37.663428
   1.21244    -40.308776    -37.663434
   1.22844    -40.308777    -37.663434
   1.24445    -40.308790    -37.663448
   1.26045    -40.308779    -37.663438
   1.27646    -40.308772    -37.663424
