#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 268 128
# Band-Index    1
   0.00000    -45.163960    -40.880470
   0.01566    -45.163969    -40.880479
   0.03131    -45.163979    -40.880476
   0.04697    -45.163979    -40.880480
   0.06263    -45.163986    -40.880490
   0.07829    -45.163990    -40.880479
   0.09394    -45.163971    -40.880474
   0.10960    -45.163981    -40.880474
   0.12526    -45.163987    -40.880476
   0.14091    -45.163993    -40.880487
   0.15657    -45.164014    -40.880484
   0.17223    -45.164026    -40.880491
   0.18789    -45.164023    -40.880495
   0.20354    -45.164023    -40.880487
   0.21920    -45.164022    -40.880500
   0.23486    -45.164028    -40.880493
   0.25051    -45.164038    -40.880494
   0.26617    -45.164036    -40.880491
   0.28183    -45.164039    -40.880489
   0.29749    -45.164040    -40.880484
   0.31314    -45.164045    -40.880486
   0.32880    -45.164061    -40.880503
   0.34446    -45.164064    -40.880507
   0.36011    -45.164061    -40.880514
   0.37577    -45.164063    -40.880532
   0.39143    -45.164063    -40.880533
   0.40709    -45.164062    -40.880538
   0.42274    -45.164064    -40.880518
   0.43840    -45.164060    -40.880519
   0.45406    -45.164052    -40.880511
   0.46971    -45.164063    -40.880514
   0.48537    -45.164057    -40.880499
   0.50103    -45.164051    -40.880502
   0.51669    -45.164047    -40.880492
   0.53234    -45.164047    -40.880483
   0.53234    -45.164014    -40.880514
   0.54812    -45.164020    -40.880519
   0.56390    -45.164023    -40.880530
   0.57968    -45.164015    -40.880523
   0.59545    -45.164011    -40.880537
   0.61123    -45.164012    -40.880547
   0.62701    -45.164022    -40.880540
   0.64279    -45.164019    -40.880526
   0.65856    -45.164019    -40.880529
   0.67434    -45.164013    -40.880533
   0.69012    -45.164009    -40.880534
   0.70589    -45.164008    -40.880520
   0.72167    -45.164009    -40.880520
   0.73745    -45.163994    -40.880500
   0.75323    -45.163994    -40.880482
   0.76900    -45.163990    -40.880475
   0.78478    -45.163995    -40.880482
   0.80056    -45.164010    -40.880479
   0.81634    -45.164008    -40.880474
   0.83211    -45.164003    -40.880462
   0.84789    -45.164002    -40.880471
   0.86367    -45.163995    -40.880455
   0.87945    -45.163991    -40.880469
   0.89522    -45.163999    -40.880476
   0.91100    -45.163992    -40.880479
   0.92678    -45.163990    -40.880468
   0.94256    -45.163986    -40.880459
   0.95833    -45.163991    -40.880472
   0.97411    -45.163981    -40.880464
   0.98989    -45.163975    -40.880467
   1.00567    -45.163963    -40.880475
   1.02144    -45.163960    -40.880470
   1.02144    -45.163960    -40.880470
   1.03715    -45.163969    -40.880484
   1.05286    -45.163972    -40.880468
   1.06857    -45.163967    -40.880454
   1.08428    -45.163978    -40.880462
   1.09999    -45.163971    -40.880475
   1.11570    -45.163981    -40.880474
   1.13141    -45.163980    -40.880483
   1.14712    -45.163986    -40.880495
   1.16283    -45.163996    -40.880502
   1.17854    -45.163990    -40.880514
   1.19425    -45.163980    -40.880498
   1.20996    -45.163990    -40.880509
   1.22567    -45.164003    -40.880513
   1.24138    -45.164027    -40.880514
   1.25709    -45.164036    -40.880523
   1.27280    -45.164043    -40.880527
   1.28851    -45.164044    -40.880530
   1.30422    -45.164038    -40.880502
   1.31993    -45.164032    -40.880497
   1.33564    -45.164027    -40.880486
   1.35135    -45.164021    -40.880485
   1.36706    -45.164022    -40.880478
   1.38277    -45.164019    -40.880463
   1.39848    -45.164023    -40.880472
   1.41419    -45.164017    -40.880476
   1.42990    -45.164000    -40.880463
   1.44561    -45.164004    -40.880472
   1.46132    -45.164009    -40.880473
   1.47703    -45.164011    -40.880474
   1.47703    -45.163971    -40.880384
   1.49235    -45.163981    -40.880392
   1.50766    -45.163995    -40.880393
   1.52297    -45.163998    -40.880390
   1.53829    -45.163992    -40.880396
   1.55360    -45.163991    -40.880409
   1.56892    -45.163992    -40.880407
   1.58423    -45.164006    -40.880426
   1.59955    -45.164004    -40.880449
   1.61486    -45.164007    -40.880456
   1.63018    -45.164002    -40.880455
   1.64549    -45.163994    -40.880451
   1.66081    -45.163995    -40.880446
   1.67612    -45.163997    -40.880437
   1.69144    -45.163997    -40.880447
   1.70675    -45.163995    -40.880445
   1.72206    -45.163987    -40.880450
   1.73738    -45.163990    -40.880449
   1.75269    -45.163988    -40.880452
   1.76801    -45.163994    -40.880458
   1.78332    -45.164006    -40.880449
   1.79864    -45.163977    -40.880437
   1.81395    -45.163978    -40.880456
   1.82927    -45.163983    -40.880468
   1.84458    -45.163993    -40.880474
   1.85990    -45.163999    -40.880473
   1.87521    -45.164002    -40.880466
   1.89052    -45.164015    -40.880460
   1.90584    -45.164033    -40.880468
   1.92115    -45.164039    -40.880470
   1.93647    -45.164034    -40.880463
   1.95178    -45.164030    -40.880475
   1.96710    -45.164036    -40.880480
   1.98241    -45.164039    -40.880483
   1.99773    -45.164044    -40.880485
   2.01304    -45.164045    -40.880476
   2.02836    -45.164044    -40.880472
   2.04367    -45.164036    -40.880473
   2.05898    -45.164040    -40.880473
   2.07430    -45.164043    -40.880471
   2.08961    -45.164030    -40.880488
   2.10493    -45.164043    -40.880495
   2.12024    -45.164031    -40.880496
   2.13556    -45.164026    -40.880482
   2.15087    -45.163995    -40.880484
   2.16619    -45.163989    -40.880492
   2.18150    -45.163976    -40.880479
   2.19682    -45.163981    -40.880479
   2.21213    -45.163977    -40.880476
   2.22745    -45.163976    -40.880477
   2.24276    -45.163960    -40.880470
   2.24276    -45.163960    -40.880470
   2.25855    -45.163973    -40.880482
   2.27434    -45.163985    -40.880486
   2.29013    -45.163975    -40.880482
   2.30592    -45.163992    -40.880483
   2.32171    -45.164000    -40.880487
   2.33750    -45.164006    -40.880502
   2.35329    -45.164020    -40.880504
   2.36908    -45.164018    -40.880496
   2.38487    -45.164019    -40.880477
   2.40066    -45.164016    -40.880473
   2.41645    -45.164016    -40.880461
   2.43224    -45.164024    -40.880468
   2.44803    -45.164017    -40.880466
   2.46382    -45.164026    -40.880472
   2.47961    -45.164025    -40.880471
   2.49540    -45.164020    -40.880482
   2.51119    -45.164016    -40.880483
   2.52698    -45.164023    -40.880490
   2.54277    -45.164020    -40.880491
   2.55856    -45.164016    -40.880502
   2.57435    -45.163998    -40.880491
   2.59014    -45.163998    -40.880477
   2.60593    -45.163993    -40.880476
   2.62172    -45.164002    -40.880478
   2.63751    -45.163995    -40.880476
   2.65330    -45.163987    -40.880470
   2.66909    -45.163996    -40.880479
   2.68488    -45.163991    -40.880476
   2.70067    -45.163992    -40.880477
   2.71646    -45.163992    -40.880475
   2.73225    -45.163990    -40.880465
   2.74804    -45.164004    -40.880475
   2.76383    -45.164011    -40.880481
   2.77962    -45.164015    -40.880477
   2.77962    -45.163997    -40.880480
   2.79512    -45.164000    -40.880479
   2.81063    -45.163993    -40.880472
   2.82614    -45.163999    -40.880465
   2.84164    -45.164000    -40.880496
   2.85715    -45.163994    -40.880486
   2.87265    -45.163990    -40.880483
   2.88816    -45.163992    -40.880477
   2.90367    -45.164000    -40.880487
   2.91917    -45.164010    -40.880501
   2.93468    -45.164010    -40.880495
   2.95019    -45.164009    -40.880487
   2.96569    -45.164009    -40.880498
   2.98120    -45.164009    -40.880492
   2.99670    -45.164021    -40.880498
   3.01221    -45.164023    -40.880506
   3.02772    -45.164030    -40.880519
   3.04322    -45.164042    -40.880524
   3.05873    -45.164031    -40.880502
   3.07423    -45.164041    -40.880506
   3.08974    -45.164041    -40.880507
   3.10525    -45.164035    -40.880499
   3.12075    -45.164040    -40.880508
   3.13626    -45.164045    -40.880515
   3.15177    -45.164063    -40.880547
   3.16727    -45.164064    -40.880541
   3.18278    -45.164068    -40.880534
   3.19828    -45.164065    -40.880521
   3.21379    -45.164047    -40.880532
   3.22930    -45.164042    -40.880529
   3.24480    -45.164045    -40.880527
   3.26031    -45.164034    -40.880524
   3.27582    -45.164030    -40.880522
   3.29132    -45.164014    -40.880505
   3.30683    -45.164002    -40.880489
   3.32233    -45.163989    -40.880471
   3.33784    -45.163983    -40.880489
   3.35335    -45.163970    -40.880478
   3.36885    -45.163974    -40.880477
   3.38436    -45.163969    -40.880478
   3.39987    -45.163972    -40.880472
   3.41537    -45.163960    -40.880470
   3.41537    -45.163960    -40.880470
   3.43082    -45.163964    -40.880480
   3.44627    -45.163972    -40.880482
   3.46172    -45.163969    -40.880484
   3.47717    -45.163972    -40.880479
   3.49262    -45.163960    -40.880475
   3.50808    -45.163971    -40.880489
   3.52353    -45.163983    -40.880493
   3.53898    -45.163991    -40.880503
   3.55443    -45.163996    -40.880502
   3.56988    -45.163999    -40.880484
   3.58533    -45.163993    -40.880479
   3.60078    -45.163999    -40.880473
   3.61623    -45.164003    -40.880469
   3.63168    -45.164002    -40.880470
   3.64713    -45.164007    -40.880479
   3.66258    -45.164015    -40.880489
   3.67803    -45.164015    -40.880472
